Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model
20140826X64917,CEN14CA455,2014-08-22,"Hemphill, TX",Non-Fatal,N421YX,2.0,Turbo Fan,0.0,1.0,1.0,52.0,Embraer: ERJ170-200LR
20140828X43935,DCA14CA155,2014-08-27,"Columbus, OH",Non-Fatal,N204JQ,2.0,Turbo Fan,0.0,0.0,1.0,55.0,Embraer: ERJ 170 200 LR
20140827X25654,CEN14FA462,2014-08-28,"Las Cruces, NM",Fatal,N51RX,2.0,Reciprocating,4.0,0.0,0.0,0.0,Cessna: 421C
20140917X61444,DCA14WA159,2014-09-01,"Mugumu, Tanzania, United Republic of",,5Y-SXP,,,0.0,0.0,0.0,0.0,Fokker: F27 - 50
20140918X75710,DCA14WA160,2014-09-05,"London, Canada",,N16954,2.0,Turbo Prop,0.0,0.0,0.0,0.0,Embraer: EMB 145LR
20140910X20543,ENG14RA024,2014-09-06,"Lahore, Pakistan, Pakistan",Non-Fatal,AP-BKN,2.0,Turbo Fan,0.0,0.0,0.0,365.0,Airbus: A330 - 301
20140908X04504,ERA14WA429,2014-09-06,"Araracuara, Colombia",Fatal,HK4755,2.0,Reciprocating,10.0,0.0,0.0,0.0,Piper: PA-31-350
20140911X31436,ANC14CA077,2014-09-07,"Gakona, AK",Non-Fatal,N432X,1.0,Reciprocating,0.0,0.0,0.0,4.0,Cessna: 185
20140922X52612,CEN14WA511,2014-09-09,"Noumea, New Caledonia, New Caledonia",Non-Fatal,F-GRSO,,,0.0,0.0,0.0,4.0,Hawker Beechcraft: 200
20141001X94301,DCA14CA170,2014-09-13,"Chicago, IL",Non-Fatal,N16147,2.0,Turbo Fan,0.0,0.0,0.0,37.0,Embraer: EMB 145XR
20150121X14444,ENG14IA029,2014-09-13,"Hodeida, Yemen",,7O-FAB,2.0,Turbo Fan,0.0,0.0,0.0,0.0,Bombardier: CRJ700
20140918X21722,DCA14CA161,2014-09-16,"Miami, FL",Non-Fatal,N654A,2.0,Turbo Fan,0.0,0.0,0.0,172.0,Boeing: 757 223
20141029X71607,DCA15WA016,2014-09-17,"Malaga, Spain",Non-Fatal,EI-EBC,2.0,,0.0,0.0,0.0,2.0,Boeing: BOEING 737-8AS
20140918X52311,ENG14IA028,2014-09-18,"Long Beach, CA",Non-Fatal,N656JB,2.0,Turbo Fan,0.0,0.0,0.0,147.0,Airbus: A320 232
20140922X14716,ENG14IA027,2014-09-21,"Atlanta, GA",Non-Fatal,N669US,4.0,Turbo Fan,0.0,0.0,0.0,333.0,Boeing: 747
