Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,Severity_Score,Fatality,extracted_value
0.0,0.0,0.0,403.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,244.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,54.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,180.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,118.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,1.0,146.0,Boeing737,108.78378378378379,Non-Fatal,
0.0,0.0,0.0,314.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,285.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,0.0,46.0,Boeing737,123.40425531914893,Non-Fatal,
0.0,0.0,0.0,365.0,Boeing747,100.0,Non-Fatal,
0.0,0.0,0.0,170.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,311.0,Boeing777,100.0,Non-Fatal,
154.0,0.0,18.0,0.0,Boeing82,2269.767441860465,Fatal-154,
65.0,25.0,0.0,0.0,Boeing737,2138.888888888889,Fatal-65,
0.0,0.0,0.0,159.0,Boeing744,100.0,Non-Fatal,
88.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-88,
0.0,0.0,0.0,192.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,133.0,Boeing737,100.0,Non-Fatal,
0.0,13.0,1.0,151.0,Boeing747,187.87878787878788,Non-Fatal,
0.0,0.0,0.0,55.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,189.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,51.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,263.0,Boeing777,100.0,Non-Fatal,
0.0,88.0,0.0,0.0,Boeing737,1200.0,Non-Fatal,
0.0,41.0,6.0,68.0,Boeing737,502.60869565217394,Non-Fatal,
0.0,0.0,0.0,141.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,352.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,257.0,Boeing777,100.0,Non-Fatal,
0.0,0.0,0.0,332.0,Boeing777,100.0,Non-Fatal,
0.0,34.0,4.0,384.0,Boeing747,190.521327014218,Non-Fatal,
9.0,53.0,27.0,45.0,Boeing737,736.5671641791045,Fatal-9,
0.0,0.0,0.0,131.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,2.0,275.0,Boeing777,101.44404332129963,Non-Fatal,
0.0,3.0,1.0,105.0,Boeing737,132.11009174311928,Non-Fatal,
0.0,0.0,0.0,220.0,Boeing767,100.0,Non-Fatal,
0.0,11.0,1.0,168.0,Boeing10,168.33333333333334,Non-Fatal,
0.0,2.0,0.0,51.0,Boeing737,141.50943396226415,Non-Fatal,
0.0,4.0,1.0,184.0,Boeing757,124.33862433862434,Non-Fatal,
0.0,4.0,1.0,263.0,Boeing767,117.16417910447761,Non-Fatal,
0.0,0.0,0.0,210.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,192.0,Boeing757,100.0,Non-Fatal,
0.0,0.0,0.0,216.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,131.0,Boeing737,100.0,Non-Fatal,
0.0,33.0,0.0,146.0,Boeing767,302.7932960893855,Non-Fatal,
0.0,0.0,0.0,153.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,85.0,Boeing717,102.32558139534885,Non-Fatal,
0.0,0.0,0.0,142.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,0.0,235.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,171.0,Boeing737,100.0,Non-Fatal,
0.0,0.0,1.0,231.0,Boeing767,100.86206896551724,Non-Fatal,
0.0,0.0,0.0,194.0,Boeing767,100.0,Non-Fatal,
0.0,0.0,0.0,102.0,Boeing737,100.0,Non-Fatal,
0.0,1.0,1.0,120.0,Boeing717,110.65573770491804,Non-Fatal,
0.0,1.0,1.0,198.0,Boeing777,106.5,Non-Fatal,
0.0,0.0,0.0,115.0,,100.0,Non-Fatal,
0.0,5.0,0.0,148.0,Boeing737,135.94771241830065,Non-Fatal,
0.0,0.0,0.0,209.0,Boeing737,100.0,Non-Fatal,
90.0,0.0,0.0,0.0,Boeing737,2500.0,Fatal-90,
0.0,1.0,1.0,83.0,Boeing737,115.29411764705881,Non-Fatal,
0.0,0.0,0.0,125.0,Boeing737,100.0,Non-Fatal,
0.0,25.0,1.0,236.0,Boeing747,205.72519083969465,Non-Fatal,
