Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,People.Count
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",Non-Fatal,Substantial,Airplane,CF-TLU,Mcdonnell Douglas,DC9,2.0,Turbo Fan,Part 129: Foreign,0.0,0.0,1.0,44.0,VMC,Climb,
20020917X01897,Incident,CHI82IA026,1982-01-12,"CHICAGO, IL",Incident,,Airplane,N31031,Lockheed,L-1011,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,149.0,UNK,Cruise,149.0
20020917X02397,Accident,MIA82FA034,1982-01-19,"MIAMI, FL",Non-Fatal,Substantial,Airplane,HCBHS,Canadair,CL-44D4,4.0,Turbo Prop,Part 129: Foreign,0.0,0.0,0.0,6.0,VMC,Landing,6.0
20020917X01767,Incident,ATL82IA041,1982-01-22,"LOUISVILLE, KY",Incident,,Airplane,N18FE,Dassault/Sud,FALCON 20,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,2.0,VMC,Descent,2.0
20020917X01909,Accident,DCA82AA013,1982-01-23,"BOSTON, MA",Fatal(2),Destroyed,Airplane,N113WA,Mcdonnell Douglas,DC-10-30,3.0,Turbo Fan,Part 121: Air Carrier,2.0,4.0,24.0,182.0,IMC,Landing,212.0
20020917X01910,Accident,DCA82AA014,1982-02-03,"PHILADELPHIA, PA",Non-Fatal,Minor,Airplane,N1814U,Mcdonnell-Douglas,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,0.0,154.0,IMC,Takeoff,155.0
20020917X02336,Incident,LAX82IA075,1982-02-15,"ONTARIO, CA",Incident,Minor,Airplane,N73717,Boeing,B737-2H4,2.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,0.0,119.0,IMC,Approach,119.0
20020917X01911,Accident,DCA82AA015,1982-02-16,"KING SALMON, AK",Non-Fatal,Substantial,Airplane,N169RV,Nihon,YS-11A,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,3.0,36.0,VMC,Approach,39.0
20020917X02151,Incident,FTW82IA062,1982-02-19,"HARLINGEN, TX",Incident,,Airplane,XAMEJ,Boeing,B-727-200,3.0,Turbo Jet,Part 129: Foreign,0.0,0.0,0.0,83.0,IMC,Landing,
20020917X02477,Incident,MKC82IA042,1982-03-08,"LAS VEGAS, NV",Incident,,Airplane,N6728,Boeing,707-131B,4.0,Turbo Fan,Part 121: Air Carrier,1.0,0.0,0.0,0.0,VMC,Standing,1.0
20020917X02338,Incident,LAX82IA103,1982-03-10,"LONG BEACH, CA",Incident,,Airplane,N778JA,Douglas,DC-9-82,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,68.0,VMC,Standing,68.0
20020917X01989,Incident,DEN82IA049,1982-03-25,"DENVER, CO",Incident,,Airplane,N857H,Gulfstream,G159-C,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,20.0,VMC,Approach,20.0
20020917X01904,Incident,CHI82IA117,1982-04-09,"YOUNGSTOWN, OH",Incident,Minor,Airplane,N7627U,Boeing,727-200,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,108.0,IMC,Landing,108.0
20020917X02079,Accident,FTW82DA139,1982-04-18,"AUSTIN, TX",Non-Fatal,Substantial,Airplane,N32717,Boeing,727-200,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,68.0,VMC,Landing,68.0
20020917X02421,Incident,MIA82IA102,1982-04-20,"MIAMI, FL",Incident,Minor,Airplane,N333EA,Lockheed,L-1011,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,152.0,VMC,Landing,152.0
20020917X03236,Incident,DEN82IA090,1982-05-18,"GILLETTE, WY",Incident,Minor,Airplane,N114GA,Gulfstream American,G-159C,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,21.0,VMC,Landing,21.0
20020917X03096,Incident,CHI82IA179,1982-05-21,"DAYTON, OH",Incident,,Airplane,N1124J,Bac,1-11-204AF,2.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,0.0,48.0,IMC,Landing,48.0
20020917X02737,Accident,ATL82DA142,1982-05-22,"MEMPHIS, TN",Non-Fatal,,Airplane,N9356,Douglas,DC-9-15F,2.0,Turbo Jet,Part 121: Air Carrier,0.0,1.0,0.0,56.0,VMC,Descent,57.0
20020917X03653,Accident,LAX82FA195,1982-05-26,"SAN FRANCISCO, CA",Non-Fatal,Substantial,Airplane,N1833U,Douglas,DC10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,25.0,113.0,VMC,Taxi,138.0
20020917X03237,Incident,DEN82IA098,1982-05-27,"NEAR GOSHEN, IN",Incident,,Airplane,N8088U,Douglas,DC-8-61,4.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,17.0,129.0,VMC,Cruise,146.0
20020917X04018,Accident,NYC82FA110,1982-05-29,ATLANTIC OCEAN,Non-Fatal,,Airplane,N801EV,Douglas,DC8-52,4.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,1.0,109.0,VMC,Cruise,111.0
20020917X03238,Incident,DEN82IA103,1982-06-08,"GILLETTE, WY",Incident,,Airplane,N159AN,Grumman,G-159C,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,29.0,VMC,Landing,29.0
20020917X04180,Incident,SEA82IA101,1982-07-05,"BOISE, ID",Incident,Minor,Airplane,N919RW,Douglas,DC-9-31,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,84.0,VMC,Takeoff,84.0
20020917X04065,Incident,NYC82IA137,1982-07-05,"FLUSHING, NY",Incident,Minor,Airplane,CGAAA,Boeing,727-233,3.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,74.0,VMC,Climb,
20020917X03515,Accident,LAX82AA259,1982-07-16,"MORTON, WY",Non-Fatal,Minor,Airplane,N1815U,Mcdonnell Douglas,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,7.0,19.0,142.0,VMC,Cruise,168.0
20020917X04067,Incident,NYC82IA170,1982-07-28,"FLUSHING, NY",Incident,Minor,Airplane,N64323,Boeing,727-231,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,129.0,IMC,Approach,129.0
20020917X03240,Incident,DEN82IA154,1982-08-05,"DENVER, CO",Incident,Minor,Airplane,N7356F,Boeing,737-291,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,102.0,VMC,Takeoff,102.0
20020917X03898,Incident,MKC82IA143,1982-08-12,"NORTH PLATTE, NE",Incident,Minor,Airplane,N7345F,Boeing,737-291,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,33.0,0.0,IMC,Approach,33.0
20020917X03729,Incident,LAX82IA309,1982-08-21,"HONOLULU, HI",Incident,Minor,Airplane,N104WA,Mcdonnell Douglas,DC-10-30F,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,393.0,VMC,Takeoff,393.0
20020917X04491,Incident,DCA82IA031,1982-09-02,"WASHINGTON, DC",Incident,,Airplane,N288WA,Boeing,727,3.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,1.0,128.0,VMC,Descent,130.0
20020917X04495,Incident,DCA83IA002,1982-10-18,"HOUSTON, TX",Incident,Minor,Airplane,N536TX,Douglas,DC-9-30,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,65.0,VMC,Takeoff,65.0
20020917X04699,Accident,FTW83LA033,1982-11-02,"AUSTIN, TX",Non-Fatal,,Airplane,N55SW,Boeing,737-200,2.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,0.0,67.0,VMC,Climb,68.0
20020917X04219,Accident,ANC83FA012,1982-11-04,"NELSON LAGOON, AK",Non-Fatal,Substantial,Airplane,N4752C,Fairchild,C-82,2.0,Reciprocating,Part 121: Air Carrier,0.0,2.0,0.0,0.0,VMC,Approach,2.0
20020917X04908,Accident,MIA83FA027,1982-11-11,"MIAMI, FL",Fatal(1),,Airplane,N707GB,Boeing,707-300,4.0,Turbo Fan,Part 121: Air Carrier,1.0,0.0,0.0,3.0,VMC,Climb,4.0
20020917X04534,Accident,DEN83FA021,1982-11-18,"DENVER, CO",Non-Fatal,Substantial,Airplane,N68056,Mcdonald Douglas,DC-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,136.0,VMC,Standing,136.0
20020917X04669,Incident,FTW83IA044,1982-11-22,"LITTLE ROCK, AR",Incident,Minor,Airplane,N846AA,Boeing,727-223,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,23.0,IMC,Landing,23.0
20020917X04910,Accident,MIA83FA036,1982-11-27,"MIAMI, FL",Non-Fatal,Substantial,Airplane,HK284,Boeing,707-323C,4.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,116.0,VMC,Takeoff,116.0
20020917X05142,Incident,SEA83IA027,1982-12-01,"BOISE, ID",Incident,,Airplane,N785NC,Mcdonnell Douglas,DC-9-51,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,22.0,VMC,Descent,22.0
20020917X04915,Incident,MIA83IA043,1982-12-06,"SARASOTA, FL",Incident,Minor,Airplane,N8871Z,Boeing,727-225,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,21.0,VMC,Takeoff,21.0
20020917X04341,Incident,ATL83IA054,1982-12-07,"CHAMBLEE, GA",Incident,Minor,Airplane,N153TG,Gulfstream American,G-159,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,3.0,VMC,Takeoff,3.0
20020917X04570,Accident,DEN83LA026,1982-12-09,"DENVER, CO",Non-Fatal,,Airplane,N7346F,Boeing,737-291,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,57.0,VMC,Taxi,57.0
20020917X04437,Incident,CHI83IA063,1982-12-18,"PELLSTON, MI",Incident,,Airplane,N9344,Douglas,DC9-30,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,51.0,IMC,Landing,51.0
20020917X04672,Incident,FTW83IA086,1982-12-26,"MEMPHIS, TN",Incident,Minor,Airplane,N6810,Boeing,727-223,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,58.0,IMC,Go-around,58.0
20020917X04343,Incident,ATL83IA085,1982-12-28,"WASHINGTON, DC",Incident,,Airplane,N752N,Boeing,737-222,2.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,0.0,73.0,VMC,Approach,73.0
20020917X04671,Incident,FTW83IA072,1982-12-30,"THERMAL, CA",Incident,,Airplane,N137AA,Mcdonnell-Douglas,DC-10-30,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,14.0,203.0,VMC,Climb,217.0
20001214X42478,Incident,LAX83IA149B,1983-03-18,"LOS ANGELES, CA",Incident,Minor,Airplane,N323EA,Lockheed,L-1011,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,588.0,VMC,Standing,
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",Incident,Minor,Airplane,9VSQQ,Boeing,747,4.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,588.0,VMC,Taxi,
20001214X44248,Incident,MIA83IA210,1983-08-21,"NORFOLK, VA",Incident,Minor,Airplane,N69NA,Douglas,DC-10-10,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,289.0,VMC,Cruise,
20001214X45013,Incident,CHI84IA041,1983-11-08,"CHICAGO, IL",Incident,Minor,Airplane,N898AA,Boeing,727-200,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,100.0,VMC,Taxi,
20001214X39980,Accident,LAX84LA349,1984-06-11,"LOS ANGELES, CA",Non-Fatal,Substantial,Airplane,N501PA,Lockheed,L-1011-385-3,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,157.0,VMC,Takeoff,
20001213X33489,Incident,BFO86IA031A,1986-05-30,"CALVERTON, NY",Incident,,Airplane,N1310T,Douglas,DC-9-31,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,69.0,VMC,Descent,
20001213X30244,Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Fatal(1),,Airplane,N712PC,Boeing,707-323B,4.0,Turbo Jet,Part 121: Air Carrier,1.0,0.0,3.0,131.0,UNK,,
20001213X25535,Accident,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Non-Fatal,,Airplane,N510EA,Boeing,757-225,2.0,Unknown,Part 121: Air Carrier,0.0,1.0,0.0,192.0,UNK,,
20001213X25661,Incident,DCA88IA056,1988-05-02,"NR TOKYO, Japan",Incident,Minor,Airplane,N157UA,Boeing,747-123,4.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,258.0,VMC,Cruise,
20001213X27315,Accident,MIA89WA071,1988-11-14,"PANAMA CITY, Panama",Non-Fatal,,Airplane,N205PA,Airbus Industrie,A-300B4-203,0.0,Unknown,Part 121: Air Carrier,0.0,1.0,4.0,222.0,VMC,,
20001213X27446,Accident,LAX89LA068,1988-12-23,"Midway Islands, PO",Non-Fatal,,Airplane,N146UA,Boeing,747SP-21,4.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,1.0,220.0,UNK,Cruise,
20001212X22890,Accident,DCA90WA430,1990-04-30,"MOOSONEE, Canada",Fatal(1),Destroyed,Airplane,,Beech,C99 AIRLINER,2.0,Unknown,Part 129: Foreign,1.0,3.0,0.0,,UNK,,
20001212X23667,Accident,DCA90WA049,1990-07-27,"BHARU, Malaysia",Non-Fatal,,Airplane,N108WA,Mcdonnell Douglas,DC-10-30,0.0,Unknown,Part 121: Air Carrier,0.0,1.0,3.0,3.0,UNK,,
20001212X17360,Incident,NYC91IA137,1991-06-06,"BOSTON, MA",Incident,Minor,Airplane,N750UA,Boeing,727-214,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,156.0,VMC,Takeoff,
20001212X18577,Incident,CHI92RA060,1991-12-12,"NAKINA, Canada",Incident,Minor,Airplane,N475EV,Boeing,B-747-121,0.0,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,,VMC,,
20001211X14270,Accident,DCA92MA025,1992-03-22,"FLUSHING, NY",Fatal(27),Destroyed,Airplane,N485US,Fokker,28-4000,2.0,Turbo Fan,Part 121: Air Carrier,27.0,9.0,12.0,3.0,IMC,Takeoff,51.0
20001211X15125,Accident,DCA92MA044,1992-07-30,"JAMAICA, NY",Non-Fatal,Destroyed,Airplane,N11002,Lockheed,L-1011-385-1,3.0,Turbo Fan,Part 121: Air Carrier,0.0,1.0,9.0,282.0,VMC,Takeoff,
20001207X03162,Accident,MIA95LA086A,1995-03-12,SAN JUAN,Non-Fatal,Minor,Airplane,N724DA,Lockheed,L-1011-385,3.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,339.0,VMC,Taxi,
20001207X03162,Accident,MIA95LA086B,1995-03-12,SAN JUAN,Non-Fatal,Substantial,Airplane,N376MQ,Short Brothers,SD3-60,2.0,Turbo Prop,Part 121: Air Carrier,0.0,0.0,0.0,339.0,VMC,Taxi,
20001207X03355,Accident,MIA95RA121,1995-04-28,"GUATEMALA CTY., Guatemala",Fatal(6),Destroyed,Airplane,N43UA,Douglas,DC-8F-54,,Unknown,Part 121: Air Carrier,6.0,1.0,1.0,1.0,IMC,,9.0
20001207X03526,Incident,NYC95IA114B,1995-05-19,"NEWARK, NJ",Incident,Minor,Airplane,N13624,Boeing,737-500,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,288.0,VMC,Taxi,
20001207X03526,Incident,NYC95IA114A,1995-05-19,"NEWARK, NJ",Incident,Minor,Airplane,LNRCK,Boeing,767-383ER,2.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,288.0,VMC,Taxi,
20001207X04862,Incident,FTW96RA039,1995-11-07,"PANAMA CITY, Panama",Incident,Minor,Airplane,N79750,Boeing,B727-224,,Unknown,Part 121: Air Carrier,0.0,0.0,2.0,10.0,UNK,,
20001207X04990,Accident,DCA96RA020,1995-12-20,"BUGA, Colombia",Fatal(160),Destroyed,Airplane,N651AA,Boeing,B757,,Unknown,Part 121: Air Carrier,160.0,4.0,0.0,,VMC,,
20001208X06203,Accident,DCA96MA068,1996-07-06,"PENSACOLA, FL",Fatal(2),Substantial,Airplane,N927DA,Mcdonnell Douglas,MD-88,2.0,Turbo Jet,Part 121: Air Carrier,2.0,2.0,3.0,137.0,VMC,Takeoff,144.0
20001208X06865,Accident,DCA97WA004,1996-10-31,"SAO PAULO, Brazil",Fatal(97),Destroyed,Airplane,,Fokker,100,,Unknown,Part 129: Foreign,97.0,4.0,2.0,,VMC,,
20001208X07016,Incident,DCA97WA005,1996-11-06,"BUENOS AIRES, Argentina",Incident,Minor,Airplane,N271W,Mcdonnell Douglas,MD-11,,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,282.0,UNK,,
20001208X07017,Accident,DCA97WA011,1996-11-23,"COMORSO ISLANDS, Ethiopia",Fatal(125),Destroyed,Airplane,,Boeing,767,,Unknown,Part 129: Foreign,125.0,44.0,2.0,4.0,VMC,,175.0
20010711X01386,Incident,DCA97WA029,1997-02-15,"Panama City, Panama",Incident,,Airplane,,Boeing,737,,,Part 129: Foreign,0.0,0.0,0.0,63.0,,,
20001208X07516,Accident,DCA97WA032,1997-03-07,"PASEO LAS PALMA, Costa Rica",Non-Fatal,Destroyed,Airplane,N851JA,Britten-Norman,BN2A-26,,Unknown,Part 129: Foreign,0.0,1.0,6.0,,IMC,,
20001208X07698,Accident,DCA97WA044,1997-04-30,,Fatal(2),Destroyed,Airplane,N9825F,Cessna,208,,Unknown,Part 129: Foreign,2.0,0.0,0.0,,UNK,,
20001208X07906,Accident,FTW97LA177,1997-05-04,"DENVER, CO",Non-Fatal,,Airplane,N217US,Boeing,737-201,2.0,Turbo Jet,Part 121: Air Carrier,0.0,1.0,0.0,96.0,VMC,Standing,
20001208X07895,Accident,DCA97WA045,1997-05-08,"SHENZHEN, China",Fatal(35),Destroyed,Airplane,,Boeing,737-300,,Unknown,Part 129: Foreign,35.0,0.0,0.0,,UNK,,
20001208X07896,Accident,DCA97WA047A,1997-05-14,"LONDON, United Kingdom",Non-Fatal,Minor,Airplane,,Boeing,747-400,4.0,Turbo Fan,Part 129: Foreign,0.0,0.0,0.0,573.0,VMC,,
20001208X07896,Accident,DCA97WA047B,1997-05-14,"LONDON, UNITED KINGDOM",Non-Fatal,Substantial,Airplane,N770UA,Boeing,B777,2.0,Turbo Fan,Part 121: Air Carrier,0.0,0.0,0.0,573.0,VMC,,
20001208X08067,Accident,ATL97WA079,1997-06-03,"ASUNCION, Paraguay",Non-Fatal,,Airplane,N651UA,Boeing,767-300,,Unknown,Part 121: Air Carrier,0.0,1.0,0.0,122.0,UNK,,
20001208X08107,Incident,DCA99WA071,1997-06-30,"SAUDIA ARABIA, Saudi Arabia",Incident,,Airplane,,Airbus Industrie,A300-600,,Unknown,Part 129: Foreign,0.0,0.0,0.0,2.0,UNK,,
20001208X08313,Incident,CHI97IA212,1997-07-12,"MEMPHIS, TN",Incident,,Airplane,N9348,Mcdonnell Douglas,DC-9-15,2.0,Turbo Jet,Part 121: Air Carrier,0.0,0.0,0.0,75.0,VMC,Approach,
20001208X08352,Accident,DCA97WA054,1997-07-21,"SOUTHERN THAILA, Thailand",Unavailable,Destroyed,Airplane,,Learjet,LR-31,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001208X08714,Accident,MIA97WA226,1997-08-02,"LIMA, Peru",Fatal(1),,Airplane,N12114,Boeing,757-200,,Unknown,Part 121: Air Carrier,1.0,0.0,0.0,149.0,UNK,,
20001208X08606,Accident,DCA97MA058,1997-08-06,"NIMITZ HILL, GU",Fatal(228),Destroyed,Airplane,H7468,Boeing,747-300,4.0,Turbo Fan,Part 129: Foreign,228.0,26.0,0.0,,IMC,Approach,
20001208X08828,Incident,DCA98WA006,1997-09-02,"SPA BELGIUM, Belgium",Incident,Minor,Airplane,,De Havilland,DHC-2,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001208X08990,Accident,DCA98WA004,1997-10-09,"BANJUL, Gambia",Fatal(8),Destroyed,Airplane,,Beech,BE-200,,Unknown,Part 129: Foreign,8.0,0.0,1.0,,IMC,,
20001208X08991,Accident,DCA98WA005,1997-10-24,"MONTEVIDEO, URUGUAY",Unavailable,Substantial,Airplane,N275WA,Mcdonnell Douglas,MD-11,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001208X09164,Accident,DCA98WA007,1997-11-18,"MWANZA AIRPORT, TANZANIA",Non-Fatal,Substantial,Airplane,,Mcdonnell Douglas,DC-8F,,Unknown,Part 129: Foreign,0.0,0.0,4.0,,UNK,,
20001208X09165,Incident,DCA98WA039,1997-11-23,"PARIS, France",Incident,,Airplane,,Mcdonnell Douglas,MD-83,,Unknown,Part 129: Foreign,0.0,0.0,0.0,138.0,UNK,,
20001208X09296,Incident,DCA98WA017,1997-12-02,"PARIS, France",Incident,Minor,Airplane,,Mcdonnell Douglas,MD83-2,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001211X09413,Accident,DCA98RA016,1998-01-09,"LONDON, United Kingdom",Non-Fatal,Minor,Airplane,N653UA,Boeing,767-322ER,,Turbo Fan,Part 121: Air Carrier,0.0,1.0,4.0,87.0,UNK,,
20001211X09416,Incident,DCA98WA022,1998-01-20,"CLERRMONT-FERRA, France",Incident,,Airplane,,Saab-Scania Ab (Saab),2000,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001211X09533,Incident,DCA98WA024,1998-02-17,"BRUSSELS, Belgium",Incident,Minor,Airplane,,Boeing,757-200,,Unknown,Part 129: Foreign,0.0,0.0,0.0,2.0,UNK,,
20001211X09650,Accident,DCA98WA027,1998-03-03,"MEXICO CITY, MEXICO",Non-Fatal,Substantial,Airplane,,Fokker,F-100,,Unknown,Part 129: Foreign,0.0,0.0,0.0,51.0,UNK,,
20001211X09657,Incident,DCA99WA029,1998-03-08,"MANCHESTER, United Kingdom",Incident,Minor,Airplane,N68065,Mcdonnell Douglas,DC-10-30,,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,253.0,UNK,,
20001211X09652,Incident,DCA98WA032,1998-03-08,"KOLN-BONN, Germany",Incident,,Airplane,N812UP,Mcdonnell Douglas,DC8-73,,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,3.0,UNK,,
20001211X09651,Accident,DCA98WA028,1998-03-10,"MOMBOSA, Kenya",Fatal(6),Destroyed,Airplane,,Boeing,707-336,,Unknown,Part 129: Foreign,6.0,0.0,0.0,,UNK,,
20001211X10045,Accident,DCA98WA048,1998-05-29,"BOMBAY, INDIA",Unavailable,Substantial,Airplane,,Boeing,B-737-500,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001211X10281,Accident,DCA98WA051,1998-06-06,"ANTALYA, France",Non-Fatal,,Airplane,,Mcdonnell Douglas,MD-83,,Unknown,Part 129: Foreign,0.0,0.0,0.0,173.0,UNK,,
20001211X10287,Incident,DCA98WA062,1998-06-27,"MUNICH, Germany",Incident,,Airplane,,Boeing,737-800,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001211X10547,Incident,DCA98WA070,1998-07-02,"BRAZIL, Brazil",Incident,,Airplane,,Boeing,737-400,,Unknown,Part 129: Foreign,0.0,0.0,0.0,5.0,UNK,,
20001211X10544,Incident,DCA98WA066,1998-07-09,"LONDON, United Kingdom",Incident,Minor,Airplane,N70072,Airbus Industrie,A300,,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,1.0,UNK,,
20001211X10551,Accident,DCA98WA078,1998-07-10,"SAO PAULO, BRAZIL",Non-Fatal,Substantial,Airplane,,Molino Oy,MU2-2B-25,,Unknown,Part 129: Foreign,0.0,0.0,0.0,5.0,UNK,,
20001211X10545,Accident,DCA98WA067,1998-07-19,"KOS, GREECE",Non-Fatal,Substantial,Airplane,,Lockheed,L-1011,,Unknown,Part 129: Foreign,0.0,0.0,0.0,1.0,UNK,,
20001211X10546,Incident,DCA98WA069,1998-07-20,"AMSTERDAM, Netherlands",Incident,,Airplane,N482EV,Boeing,747,,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,3.0,UNK,,
20001211X10548,Accident,DCA98WA071,1998-07-28,"BARCELONA, Spain",Fatal(2),Destroyed,Airplane,,Swearingen,,,Unknown,Part 129: Foreign,2.0,0.0,0.0,,UNK,,
20001211X10549,Incident,DCA98WA074,1998-07-29,"LONDON HEATHROW, United Kingdom",Incident,Minor,Airplane,N796UA,Boeing,777,,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,1.0,UNK,,
20001211X10828,Accident,DCA98WA090,1998-08-21,"SAN BLAS, Panama",Non-Fatal,Destroyed,Airplane,,Britten-Norman,BN-2A-26,,Unknown,Part 129: Foreign,0.0,0.0,0.0,5.0,UNK,,
20010108X00060,Incident,DCA98WA083,1998-08-28,"CALCUTTA, India",Incident,Minor,Airplane,,Airbus Industrie,319,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001211X11042,Incident,DCA99WA003,1998-09-12,,Incident,Substantial,Airplane,,Boeing,767,,Unknown,Part 129: Foreign,0.0,0.0,0.0,200.0,VMC,,
20001211X11228,Incident,DCA99WA004,1998-10-13,"AMSTERDAM, Netherlands",Incident,Minor,Airplane,N230NW,Mcdonnell Douglas,DC-10-30,,Unknown,Part 121: Air Carrier,0.0,0.0,0.0,,UNK,,
20001211X11475,Accident,MIA99LA026,1998-11-03,"MEMPHIS, TN",Fatal(1),Minor,Airplane,N325PX,Saab-Scania Ab (Saab),340A,2.0,Turbo Prop,Part 121: Air Carrier,1.0,0.0,0.0,11.0,VMC,Standing,
20001211X11485,Accident,MIA99WA029,1998-11-11,"CONCEPCION, Bolivia",Non-Fatal,,Airplane,N784UA,Boeing,777-222B,,Turbo Fan,Part 121: Air Carrier,0.0,1.0,0.0,227.0,UNK,,
20001211X11409,Incident,DCA99WA022,1998-11-11,"MELBOURNE, Australia",Incident,,Airplane,,Saab-Scania Ab (Saab),340,,Unknown,Part 129: Foreign,0.0,0.0,1.0,30.0,IMC,,
20001211X11538,Accident,DCA99WA020,1998-12-05,"MANILLA, Philippines",Unavailable,,Airplane,,,A330,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001211X11537,Accident,DCA99WA017,1998-12-05,"ISTANBUL, Turkey",Fatal(2),Destroyed,Airplane,,Beech,KINGAIR 300,,Unknown,Part 129: Foreign,2.0,0.0,0.0,,UNK,,
20001211X11541,Accident,DCA99WA025,1998-12-17,"CAMARINES PROVI, Philippines",Fatal(2),Destroyed,Airplane,,Beech,95,,Unknown,Part 129: Foreign,2.0,0.0,0.0,,UNK,,
20001211X11544,Incident,DCA99WA036,1998-12-25,"SHANGHAI, CHINA",Incident,Substantial,Airplane,,Mcdonnell Douglas,MD-11,,Unknown,Part 129: Foreign,0.0,0.0,0.0,,UNK,,
20001211X11543,Incident,DCA99WA027,1998-12-28,"CURITBA, BRAZIL",Incident,Substantial,Airplane,,Embraer,EMB-145,,Unknown,Part 129: Foreign,0.0,0.0,0.0,40.0,UNK,,
