Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,People.Count
20121113X03553,Incident,ENG13WA007,2012-11-11,"Richmond NSW, Australia",,,Airplane,A6-EDA,Airbus,A380-861,,Turbo Fan,129,0.0,0.0,0.0,0.0,,,0.0
20121119X42202,Accident,ERA13WA063,2012-11-11,"Sao Paulo, Brazil",Non-Fatal,Substantial,Airplane,PR-MRG,Cessna,525B,2.0,,NUSC,0.0,1.0,1.0,1.0,VMC,,3.0
20121114X82049,Incident,DCA13WA020,2012-11-13,"Johannesburg, South Africa",Non-Fatal,Minor,Airplane,ZS-TOG,Boeing,MD-82,,,NUSC,0.0,0.0,0.0,137.0,,,137.0
20121119X10642,Accident,WPR13LA045,2012-11-18,"Obyan,",Fatal,Substantial,Airplane,N4267R,Piper,PA-32,1.0,Reciprocating,135,1.0,1.0,5.0,0.0,VMC,,7.0
20121121X33535,Accident,ERA13LA065,2012-11-20,"Roanoke, VA",Non-Fatal,Substantial,Airplane,N702DK,Beech,C90A,2.0,Turbo Prop,135,0.0,0.0,0.0,4.0,VMC,,4.0
20121130X01711,Accident,CEN13FA080,2012-11-30,"Bryans Corner, OK",Non-Fatal,Substantial,Airplane,N1324G,Cessna,208B,1.0,Turbo Prop,135,0.0,1.0,0.0,0.0,VMC,,1.0
20130926X54839,Incident,DCA13WA160,2012-12-02,"Shannon, Ireland",,Minor,Airplane,G-VIIK,Boeing Company,BOEING 777-236,2.0,Turbo Fan,NUSC,0.0,0.0,0.0,0.0,,,0.0
20121204X63622,Accident,ANC13LA012,2012-12-03,"Mekoryuk, AK",Non-Fatal,Substantial,Airplane,N169LJ,Cessna,208B,1.0,Turbo Prop,135,0.0,1.0,0.0,8.0,VMC,,9.0
20130314X15433,Accident,DCA13CA066,2012-12-05,"New York, NY",Non-Fatal,Substantial,Airplane,N411ZW,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,121,0.0,0.0,0.0,53.0,VMC,,53.0
20121217X90619,Accident,ANC13CA018,2012-12-17,"Skwentna, AK",Non-Fatal,Substantial,Airplane,N121KT,Dehavilland,DHC-2 MK. I(L20A),1.0,Reciprocating,135,0.0,0.0,0.0,1.0,VMC,,1.0
20121219X45033,Accident,WPR13FA072,2012-12-19,"Payson, AZ",Fatal,Substantial,Airplane,N62959,Piper,PA-31-350,2.0,Reciprocating,135,1.0,0.0,0.0,0.0,IMC,,1.0
20121228X00153,Incident,ENG13RA009,2012-12-20,"Phuket, Thailand",Non-Fatal,Minor,Airplane,D-ABXA,Airbus,A330,2.0,,NUSC,0.0,0.0,0.0,257.0,,,257.0
20130103X44411,Accident,DCA13CA035,2012-12-26,"Memphis, TN",Non-Fatal,Substantial,Airplane,N612FE,Mcdonnell Douglas,MD-11F,3.0,Turbo Fan,121,0.0,0.0,0.0,3.0,IMC,,3.0
20130104X31855,Accident,CEN13CA125,2012-12-27,"Middle Bass Island, OH",Non-Fatal,Substantial,Airplane,N428S,Piper,PA-32-301,1.0,Reciprocating,135,0.0,0.0,0.0,1.0,VMC,,1.0
20121231X42414,Accident,CEN13CA117,2012-12-29,"CHICAGO, IL",Non-Fatal,,Airplane,N619AE,Embraer,EMB-145LR,2.0,Turbo Fan,121,0.0,0.0,1.0,49.0,VMC,,50.0
20121231X35943,Incident,ENG13WA010,2012-12-31,"Seoul, South Korea, South Korea",,,Airplane,N206UA,Boeing,777-222,2.0,Turbo Fan,121,0.0,0.0,0.0,0.0,,,0.0
20130107X32320,Incident,DCA13IA037,2013-01-07,"Boston, MA",,Minor,Airplane,JA829J,Boeing,787,,,129,0.0,0.0,0.0,0.0,VMC,,0.0
20130111X94242,Accident,CEN13CA129,2013-01-11,"Alexandria, MN",Non-Fatal,Substantial,Airplane,N110BA,Beech,65-B80,2.0,Reciprocating,135,0.0,0.0,0.0,1.0,IMC,,1.0
20130211X93016,Incident,CEN13WA154,2013-01-11,"Schwechat, Austria",Non-Fatal,,Airplane,N391CC,Piper,PA46,,Turbo Prop,NUSC,0.0,0.0,0.0,1.0,,,1.0
20130116X93016,Incident,DCA13RA038,2013-01-15,"Takamatsu, Japan",Non-Fatal,Minor,Airplane,JA804A,Boeing,787,2.0,,129,0.0,4.0,0.0,133.0,,,137.0
20130116X44104,Accident,CEN13FA135,2013-01-16,"Pellston, MI",Fatal,Destroyed,Airplane,N1120N,Cessna,208B,1.0,Turbo Prop,135,1.0,0.0,0.0,0.0,VMC,,1.0
20130118X53100,Accident,DCA13LA039,2013-01-17,"Miami, FL",Non-Fatal,Minor,Airplane,LV-BMT,Airbus,A340 - 300,4.0,Turbo Fan,129,0.0,0.0,0.0,397.0,VMC,,397.0
20130128X11324,Accident,DCA13CA043,2013-01-25,"Denver, CO",Non-Fatal,Substantial,Airplane,N618FE,Mcdonnell Douglas,MD11,,Turbo Fan,121,0.0,0.0,0.0,3.0,VMC,,3.0
20130213X25527,Incident,ENG13WA014,2013-01-30,"Copenhagen, Denmark",,,Airplane,SE-DIK,Mcdonnell Douglas,MD-82,2.0,,129,0.0,0.0,0.0,0.0,,,0.0
20130213X92000,Incident,DCA13WA054,2013-02-03,"Seoul, South Korea",Non-Fatal,Minor,Airplane,HL7780,Boeing,737,2.0,,NUSC,0.0,0.0,0.0,193.0,,,193.0
20130220X32821,Incident,DCA13IA058,2013-02-07,"Bowman, GA",Non-Fatal,Minor,Airplane,N261PS,Bombardier Inc,CL-600-2B19,2.0,Turbo Fan,121,0.0,1.0,0.0,39.0,Unk,,40.0
20130216X24215,Accident,ANC13CA023,2013-02-16,"Dutch Harbor, AK",Non-Fatal,Substantial,Airplane,N15PR,Piper,PA-31-350,2.0,Reciprocating,135,0.0,0.0,0.0,3.0,VMC,,3.0
20130220X51849,Accident,WPR13LA131,2013-02-19,"Pacific Ocean, UN",Non-Fatal,,Airplane,N174UA,Boeing,747-422,4.0,Turbo Fan,121,0.0,0.0,1.0,220.0,VMC,,221.0
20130220X85257,Accident,DCA13CA056,2013-02-19,"Cincinnati, OH",Non-Fatal,,Airplane,N283SK,Embraer,EMB-145LR,2.0,Turbo Fan,121,0.0,0.0,1.0,53.0,VMC,,54.0
20130227X80547,Incident,ENG13IA016,2013-02-25,"Dallas, TX",Non-Fatal,Minor,Airplane,B18701,Boeing,747,4.0,Turbo Fan,129,0.0,0.0,0.0,3.0,Unk,,3.0
20130404X73428,Incident,DCA13WA070,2013-02-25,"Brisbane, Australia",,,Airplane,VH-VYE,Boeing,737,,,NUSC,0.0,0.0,0.0,0.0,,,0.0
20130228X52911,Incident,DCA13WA060,2013-02-26,"Keflavik, Iceland",Non-Fatal,,Airplane,TF-FIJ,Boeing,757,,,NUSC,0.0,0.0,0.0,171.0,,,171.0
20130312X23544,Incident,WPR13IA144,2013-03-05,"Danville, CA",Non-Fatal,Minor,Airplane,N417QX,Bombardier,DHC-8-402,2.0,Turbo Prop,121,0.0,0.0,0.0,51.0,VMC,,51.0
20130307X72035,Accident,ERA13WA158,2013-03-06,"La Libertad, Peru",Fatal,Destroyed,Airplane,OB-1992,Beech,B200,2.0,Turbo Prop,NUSC,9.0,0.0,0.0,0.0,,,9.0
20130308X62710,Accident,ANC13LA029,2013-03-06,"Bethel, AK",Non-Fatal,Substantial,Airplane,N1704U,Cessna,207,1.0,Reciprocating,135,0.0,0.0,0.0,3.0,VMC,,3.0
20130308X64149,Accident,ANC13FA030,2013-03-08,"Aleknagik, AK",Fatal,Destroyed,Airplane,N116AX,Beech,1900C,2.0,Turbo Prop,135,2.0,0.0,0.0,0.0,IMC,,2.0
