,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
1199,20140918X21722,DCA14CA161,2014-09-16,"Miami, FL",Non-Fatal,N654A,2.0,Turbo Fan,0.0,0.0,0.0,172.0,172.0,Boeing: 757 223
1201,20140918X52311,ENG14IA028,2014-09-18,"Long Beach, CA",Non-Fatal,N656JB,2.0,Turbo Fan,0.0,0.0,0.0,147.0,147.0,Airbus: A320 232
1202,20140922X14716,ENG14IA027,2014-09-21,"Atlanta, GA",Non-Fatal,N669US,4.0,Turbo Fan,0.0,0.0,0.0,333.0,333.0,Boeing: 747
1207,20141003X84008,DCA15WA002,2014-10-03,"Buenos Aires, Argentina",Non-Fatal,N772AN,2.0,Turbo Fan,0.0,1.0,1.0,248.0,250.0,Boeing: 777 223
1208,20141006X73012,DCA15FA004,2014-10-05,"Jamaica, NY",Non-Fatal,N572RP,2.0,Turbo Fan,0.0,0.0,0.0,228.0,228.0,Embraer: EMB 145LR
1211,20141023X80357,DCA15CA012,2014-10-23,"Minneapolis, MN",Non-Fatal,N622CZ,,,0.0,0.0,0.0,272.0,272.0,Embraer: ERJ 170 200 LR
1215,20141211X62917,DCA15CA035,2014-11-24,"Valdosta, GA",Non-Fatal,N16217,2.0,Turbo Fan,0.0,12.0,1.0,146.0,159.0,Boeing: 737 824
1221,20150116X52840,DCA15CA050,2014-12-11,"San Jose, CA",Non-Fatal,N481WN,2.0,Turbo Fan,0.0,0.0,1.0,80.0,81.0,Boeing: 737 7H4
1222,20141217X43728,DCA15CA037,2014-12-13,"Baltimore, MD",Non-Fatal,N7710A,,Turbo Fan,0.0,0.0,0.0,145.0,145.0,Boeing: 737
1224,20141223X05119,DCA15WA041,2014-12-16,"Ishikawa, Japan",Non-Fatal,N751AN,2.0,,0.0,10.0,2.0,243.0,255.0,Boeing: 777 223
1233,20150211X14605,CEN15LA140,2015-02-10,"Houston, TX",Non-Fatal,N953UW,2.0,Turbo Fan,0.0,1.0,0.0,55.0,56.0,Embraer: ERJ 190 100 IGW
1234,20150219X14806,DCA15LA067,2015-02-15,"HONOLULU, PO",Non-Fatal,N59053,,,0.0,4.0,1.0,245.0,250.0,Boeing: 767
1236,20150219X82450,OPS15IA011,2015-02-18,"Chicago, IL",Non-Fatal,N698CB,2.0,Turbo Fan,0.0,0.0,0.0,113.0,113.0,Embraer: EMB 145LR
1239,20150305X42958,DCA15FA085,2015-03-05,"New York, NY",Non-Fatal,N909DL,,Turbo Fan,0.0,0.0,0.0,132.0,132.0,Mcdonnell Douglas: MD 88
1241,20150314X74553,DCA15IA089,2015-03-14,"Chicago, IL",Non-Fatal,N157GJ,2.0,Turbo Fan,0.0,0.0,0.0,41.0,41.0,Bombardier: CL 600 2C10
1245,20150422X71127,DCA15CA108,2015-03-20,"Springfield, MO",Non-Fatal,N625AE,2.0,Turbo Prop,0.0,0.0,0.0,53.0,53.0,Embraer: EMB 145LR
1252,20150506X41316,DCA15CA118,2015-05-04,"Phoenix, AZ",Non-Fatal,N932LR,2.0,Turbo Fan,0.0,0.0,0.0,79.0,79.0,Bombardier: CL600 2D24
