,Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model
1516,20170720X54038,DCA17WA154,2017-07-01,"Fukushima, Japan",Non-Fatal,N29968,,,0.0,0.0,1.0,261.0,262.0,Boeing: 787-9
1517,20170712X12448,DCA17LA182,2017-07-02,"Denver, CO",Non-Fatal,N796SK,2.0,Turbo Fan,0.0,0.0,0.0,59.0,59.0,Bombardier: CL 600 2C10
1519,20170810X64739,DCA17WA170,2017-07-03,"Cali, Colombia",Non-Fatal,N742AV,2.0,,0.0,0.0,0.0,156.0,156.0,Airbus: A320 214
1526,20170721X61556,DCA17CA155,2017-07-20,"Minneapolis, MN",Non-Fatal,N427YX,2.0,Turbo Fan,0.0,3.0,1.0,45.0,49.0,Embraer: ERJ170-200LR
1531,20170814X24811,DCA17WA174,2017-08-01,"Singapore, Senegal",Non-Fatal,9V-SQN,,,0.0,3.0,3.0,213.0,219.0,Boeing: 777
1532,20170810X12419,DCA17WA168,2017-08-01,"Tijuana, Mexico",Non-Fatal,N368AR,2.0,,0.0,0.0,0.0,146.0,146.0,Boeing: 737
1538,20170810X65552,DCA17WA171,2017-08-10,"Bacau, Romania",Non-Fatal,YR-BAJ,,,0.0,0.0,0.0,164.0,164.0,Boeing: 737
1539,20170814X31931,DCA17WA176,2017-08-13,"London, United Kingdom",Non-Fatal,N1608,2.0,Turbo Fan,0.0,1.0,0.0,218.0,219.0,Boeing: 767 332
1541,20170816X35104,DCA17CA181,2017-08-15,"Queens, NY",Non-Fatal,N175AN,2.0,Turbo Fan,0.0,0.0,0.0,295.0,295.0,Boeing: 757
1542,20170824X42626,DCA17LA183,2017-08-22,"McKellar, TN",Non-Fatal,N745SK,2.0,Turbo Fan,0.0,9.0,2.0,63.0,74.0,Bombardier: CL 600 2C10
1546,20170905X02408,DCA17WA189,2017-08-27,"Lima, Peru",Non-Fatal,N491TA,2.0,Turbo Fan,0.0,0.0,0.0,134.0,134.0,Airbus: A320 233
1549,20170906X30002,DCA17WA190,2017-08-31,"Medellin, Colombia",Non-Fatal,HK4535,,,0.0,0.0,0.0,51.0,51.0,Embraer: EMB145
1550,20170911X34051,DCA17CA194,2017-09-04,"El Paso, TX",Non-Fatal,N938DN,,,0.0,0.0,1.0,142.0,143.0,Mcdonnell Douglas: MD 90-30
1553,20171012X92606,DCA17WA218,2017-09-05,"Chochin, India",Non-Fatal,VT-AYB,,,0.0,3.0,0.0,105.0,108.0,Boeing: 737
1554,20170907X71900,ENG17IA036,2017-09-06,"Las Vegas, NV",Non-Fatal,N686DA,2.0,Turbo Fan,0.0,0.0,0.0,184.0,184.0,Boeing: 757 232
1559,20170913X72254,DCA17CA195,2017-09-12,"Los Angeles, CA",Non-Fatal,C-GHOZ,2.0,,0.0,0.0,0.0,140.0,140.0,Boeing: 767-375
1561,20170920X64035,DCA17CA197,2017-09-13,"Charlotte, NC",Non-Fatal,N261PS,2.0,Turbo Fan,0.0,0.0,0.0,34.0,34.0,Bombardier: CL 600 2B19
1562,20170925X23622,DCA17WA209,2017-09-15,"Christ Church, Barbados",Non-Fatal,N137AA,2.0,Turbo Fan,0.0,0.0,0.0,143.0,143.0,Airbus: A321 231
1564,20170925X90335,DCA17WA204,2017-09-17,"Aqaba, Jordan",Non-Fatal,JY-SOA,,,0.0,0.0,0.0,132.0,132.0,Boeing: 737
1565,20170921X31237,DCA17WA201,2017-09-19,"Mumbai, India",Non-Fatal,VT-SGZ,,,0.0,0.0,0.0,189.0,189.0,Boeing: 737
1566,20170925X84139,DCA17WA203,2017-09-22,"Hong Kong, Hong Kong",Non-Fatal,B-LNS,,,0.0,0.0,0.0,189.0,189.0,Airbus: A330
1567,20170925X95307,DCA17WA205,2017-09-23,"Osaka, Japan",Non-Fatal,PHBQC,,,0.0,0.0,0.0,321.0,321.0,Boeing: 777
1568,20171005X44145,DCA17CA217,2017-09-25,"Sioux City, IA",Non-Fatal,N500WR,2.0,Turbo Fan,0.0,0.0,1.0,172.0,173.0,Boeing: 737-8H4
1569,20180410X54605,DCA17WA226,2017-09-27,"Dublin, Ireland",Non-Fatal,EC-LVQ,,,0.0,0.0,0.0,185.0,185.0,Airbus: A320
1570,20171003X20509,DCA17WA216,2017-09-28,"Luga, Malta",Non-Fatal,G-FDZJ,,,0.0,0.0,0.0,142.0,142.0,Boeing: 737
1572,20170930X94216,ENG17RA039,2017-09-30,"Goose Bay, Canada",Non-Fatal,F-HPJE,,,0.0,0.0,0.0,521.0,521.0,Airbus: A380
1573,20171002X95003,DCA17CA214,2017-09-30,"Arlington, VA",Non-Fatal,N982VJ,2.0,Turbo Fan,0.0,0.0,0.0,301.0,301.0,Airbus: A321 231
1574,20171003X23920,DCA18CA001,2017-10-02,"Chicago, IL",Non-Fatal,N930WN,2.0,Turbo Fan,0.0,0.0,0.0,84.0,84.0,Boeing: 737 7H4
1589,20171127X21550,DCA18WA023,2017-11-19,"Guayaquil, Spain",Non-Fatal,YV2937,,,0.0,0.0,0.0,86.0,86.0,Boeing: 737
1594,20171211X03456,DCA18WA038,2017-11-22,"Foz do Iguacu County, Brazil",Non-Fatal,PR-GXQ,,,0.0,0.0,0.0,125.0,125.0,Boeing: 737
1598,20171201X14308,DCA18IA026,2017-11-29,"Atlanta, GA",Non-Fatal,N852DN,2.0,Turbo Fan,0.0,0.0,0.0,169.0,169.0,Boeing: 737-932ER
1599,20171201X35829,DCA18WA027,2017-11-29,"Bogota, Colombia",Non-Fatal,N14115,2.0,Turbo Fan,0.0,0.0,1.0,157.0,158.0,Boeing: 757 224
1600,20171212X50255,DCA18CA043,2017-12-03,"Miami, FL",Non-Fatal,N9011P,2.0,Turbo Fan,0.0,0.0,0.0,294.0,294.0,Airbus: A319 115
1602,20171220X52223,DCA18CA055,2017-12-06,"Fort Lauderdale, FL",Non-Fatal,N670NK,2.0,Turbo Fan,0.0,1.0,1.0,100.0,102.0,Airbus: A321 231
1604,20171212X00211,DCA18CA042,2017-12-12,"Detroit, MI",Non-Fatal,N924DL,2.0,Turbo Jet,0.0,0.0,0.0,61.0,61.0,Mcdonnell Douglas: MD 88
1605,20171219X15432,DCA18WA054,2017-12-13,"Cusco, Peru",Non-Fatal,OB-212-P,,,0.0,0.0,0.0,73.0,73.0,Boeing: 737
1608,20171219X90251,DCA18CA049,2017-12-18,"Saint Louis, MO",Non-Fatal,N128SY,,Turbo Fan,0.0,0.0,1.0,56.0,57.0,Embraer: ERJ170-200LR
1612,20180116X12236,DCA18IA081,2017-12-30,"Pullman, WA",Non-Fatal,N412QX,2.0,Turbo Prop,0.0,0.0,0.0,46.0,46.0,Bombardier: DHC 8 402
1619,20180205X20338,ENG18WA011,2018-01-18,"Alice Springs, Australia",Non-Fatal,9M-MTM,2.0,Turbo Fan,0.0,0.0,0.0,255.0,255.0,Airbus: A330
1621,20180205X00724,ENG18WA010,2018-01-25,"Lima, Peru",Non-Fatal,OB-2140P,2.0,Turbo Fan,0.0,0.0,0.0,99.0,99.0,Boeing: 737
1622,20180207X92707,ENG18RA012,2018-01-29,"Mar Del Plata, Argentina",Non-Fatal,LV-CID,,,0.0,0.0,0.0,101.0,101.0,Embraer: ERJ190
1629,20180213X95634,DCA18IA092,2018-02-13,"Honolulu, HI",Non-Fatal,N773UA,2.0,Turbo Fan,0.0,0.0,0.0,378.0,378.0,Boeing: 777 222
1630,20180213X95840,DCA18RA093,2018-02-13,"Lagos, Nigeria",Non-Fatal,N858NW,2.0,Turbo Fan,0.0,9.0,0.0,135.0,144.0,Airbus: A330
1633,20180416X93719,DCA18WA136,2018-02-18,"Ballina/Byron Gateway Aerodome, Australia",Non-Fatal,unknown,,,0.0,0.0,0.0,174.0,174.0,Boeing: 737
1635,20180228X30813,DCA18CA102,2018-02-24,"Minneapolis, MN",Non-Fatal,N817NW,2.0,Turbo Fan,0.0,2.0,1.0,295.0,298.0,Airbus: A330 323
1647,20180412X60328,DCA18WA130,2018-04-06,"Rio de Janeiro, Brazil",Non-Fatal,PR-GGE,,,0.0,0.0,0.0,173.0,173.0,Boeing: 737
1649,20180423X40746,DCA18WA153,2018-04-10,"unknown, Mexico",Non-Fatal,N70020,2.0,,0.0,0.0,0.0,38.0,38.0,Airbus: A319 115
1653,20180423X34356,DCA18WA151,2018-04-12,"Mexico City, Mexico",Non-Fatal,XA-UZW,,,0.0,0.0,0.0,48.0,48.0,Boeing: 737
1656,20180417X23642,DCA18MA142,2018-04-17,"Philadelphia, PA",Fatal,N772SW,2.0,Turbo Fan,1.0,125.0,8.0,6.0,140.0,Boeing: 737 7H4
1657,20180419X80338,DCA18LA163,2018-04-18,"Atlanta, GA",Non-Fatal,N806NW,2.0,Turbo Fan,0.0,0.0,0.0,288.0,288.0,Airbus: A330 323
1658,20180423X20443,DCA18WA149,2018-04-18,"Cuzco, Peru",Non-Fatal,N240AT,2.0,,0.0,0.0,0.0,46.0,46.0,Boeing: 737 500
1659,20180423X42758,DCA18WA155,2018-04-18,"unknown, Mexico",Non-Fatal,XA-UQA,,,0.0,0.0,0.0,115.0,115.0,Boeing: 737
1660,20180420X04304,DCA18FA144,2018-04-20,"Alexandria, LA",Non-Fatal,N807WA,2.0,Turbo Fan,0.0,0.0,0.0,101.0,101.0,Mcdonnell Douglas: DC 9 83(MD-83)
1666,20190501X01506,ENG18WA041,2018-04-30,"Bangkok, Thailand",Non-Fatal,HS-XBD,,,0.0,0.0,0.0,352.0,352.0,Boeing: 777
1667,20180503X92154,DCA18CA165,2018-05-01,"Queens, NY",Non-Fatal,N606LR,2.0,Turbo Fan,0.0,0.0,0.0,276.0,276.0,Bombardier: CL600 2D24
1670,20180507X44134,DCA18WA173,2018-05-03,"Guayaquil, Spain",Non-Fatal,N396AN,2.0,Turbo Fan,0.0,0.0,0.0,181.0,181.0,Boeing: 767 323
1674,20180507X00658,DCA18CA169,2018-05-07,"Baltimore, MD",Non-Fatal,N8655D,2.0,Turbo Fan,0.0,0.0,0.0,179.0,179.0,Boeing: 737-8H4
1676,20180519X00340,DCA18RA186,2018-05-18,"Havana, Cuba",Fatal,XA-UHZ,,Turbo Fan,112.0,0.0,1.0,0.0,113.0,Boeing: 737
1682,20180611X85348,DCA18CA201,2018-06-10,"Decatur, TX",Non-Fatal,N750AN,2.0,Turbo Fan,0.0,7.0,1.0,261.0,269.0,Boeing: 777 223
1683,20180618X41609,DCA18WA222,2018-06-10,"Crete, Greece",Non-Fatal,N276EA,2.0,,0.0,0.0,0.0,173.0,173.0,Boeing: 737 800
1684,20180618X30834,DCA18CA219,2018-06-11,"Harbin, China",Non-Fatal,N826AN,2.0,Turbo Fan,0.0,1.0,1.0,290.0,292.0,Boeing: 787-9
1685,20180613X94510,DCA18WA207,2018-06-12,"Otopeni, Romania",Non-Fatal,YR-BGG,,,0.0,0.0,0.0,106.0,106.0,Boeing: 737
1687,20180618X44832,DCA18WA223,2018-06-14,"Zhuliany, Ukraine",Non-Fatal,UR-CPR,,,0.0,0.0,0.0,177.0,177.0,Mcdonnell Douglas: MD80
1690,20180803X35058,DCA18CA255,2018-06-17,"Cut Bank, MT",Non-Fatal,N637CZ,2.0,Turbo Fan,0.0,0.0,1.0,72.0,73.0,Embraer: ERJ175
1692,20180627X53405,DCA18WA229,2018-06-26,"Koln, Germany",Non-Fatal,D-ABKM,,,0.0,0.0,0.0,157.0,157.0,Boeing: 737
1693,20180702X05713,OPS18IA014,2018-06-27,"Springfield, MO",Non-Fatal,,2.0,,0.0,0.0,0.0,53.0,53.0,Embraer: EMB145
1695,20180712X94728,DCA18WA238,2018-06-29,"Gander, Canada",Non-Fatal,N278AY,2.0,Turbo Fan,0.0,1.0,0.0,300.0,301.0,Airbus: A330
1701,20180713X41207,DCA18WA241,2018-07-11,"Djerba, Tunisia",Non-Fatal,LY-GGC,,,0.0,0.0,0.0,34.0,34.0,Boeing: 737
1702,20180719X64035,DCA18WA247,2018-07-11,"Chichen Itza, Mexico",Non-Fatal,N802WA,,,0.0,0.0,0.0,131.0,131.0,Mcdonnell Douglas: DC9
1704,20180719X65328,DCA18WA248,2018-07-16,"Confins county, Brazil",Non-Fatal,PR-GGD,,,0.0,0.0,0.0,142.0,142.0,Boeing: 737
1705,20180820X65029,DCA18WA270,2018-07-16,"Iguazu Province of Misiones, Argentina",Non-Fatal,LV-HQY,,,0.0,0.0,0.0,71.0,71.0,Boeing: 737
1707,20180725X32722,DCA18CA251,2018-07-23,"Charlotte, NC",Non-Fatal,N918DE,,Turbo Fan,0.0,1.0,1.0,144.0,146.0,Mcdonnell Douglas: MD88
1709,20200619X60815,DCA18CA316,2018-07-23,"West Palm Beach, FL",Non-Fatal,N328NB,2.0,Turbo Fan,0.0,1.0,1.0,132.0,134.0,Airbus: A319
1710,20180727X04921,DCA18CA252,2018-07-27,"Portsmouth, NH",Non-Fatal,N641GT,2.0,Turbo Fan,0.0,0.0,0.0,250.0,250.0,Boeing: 767
1713,20180731X03141,DCA18RA253,2018-07-31,"Durango, Mexico",Non-Fatal,XA-GAL,,Turbo Fan,0.0,26.0,16.0,60.0,102.0,Embraer: ERJ190
1714,20180816X41010,DCA18CA266,2018-07-31,"Philadelphia, PA",Non-Fatal,N192AN,2.0,Turbo Fan,0.0,0.0,0.0,181.0,181.0,Boeing: 757
1721,20180905X90334,DCA18CA283,2018-08-13,"Los Angeles, CA",Non-Fatal,N204HA,2.0,Turbo Fan,0.0,0.0,0.0,197.0,197.0,Airbus: A321-271N
1728,20190222X90048,DCA18WA314,2018-08-19,"Callao, Peru",Non-Fatal,N404AV,2.0,Turbo Prop,0.0,0.0,0.0,64.0,64.0,Dehavilland: DHC8
1731,20180828X94249,DCA18CA272,2018-08-24,"Philadelphia, PA",Non-Fatal,EI-LBT,,,0.0,0.0,0.0,177.0,177.0,Boeing: 757
1734,20180901X54734,DCA18WA277,2018-09-01,"Sochi, Russia",Non-Fatal,VQ-BJI,,,0.0,6.0,0.0,166.0,172.0,Boeing: 737
1735,20180907X10419,DCA18LA285,2018-09-06,"New York, NY",Non-Fatal,N173AN,2.0,Turbo Fan,0.0,0.0,1.0,112.0,113.0,Boeing: 757
1743,20181016X81128,DCA18WA304,2018-09-20,"Mumbai, India",Non-Fatal,VT-JGS,,,0.0,0.0,0.0,173.0,173.0,Boeing: 737
1745,20181009X10416,DCA18CA299,2018-09-24,"Newark, NJ",Non-Fatal,N13113,2.0,Turbo Fan,0.0,0.0,1.0,176.0,177.0,Boeing: 757
1746,20181001X05544,DCA18WA296,2018-09-26,"Tijuana, Mexico",Non-Fatal,XA-VOW,,,0.0,6.0,0.0,166.0,172.0,Airbus: A320
1747,20181001X90405,DCA18CA294,2018-09-26,"Dallas, TX",Non-Fatal,N994AN,2.0,Turbo Fan,0.0,0.0,1.0,185.0,186.0,Airbus: A321
1748,20181016X81715,DCA18WA305,2018-09-26,"Chattogram, Bangladesh",Non-Fatal,S2-AJA,,,0.0,0.0,0.0,173.0,173.0,Boeing: 737
1749,20180928X51314,DCA18RA292,2018-09-28,"Chuuk, Micronesia (Federated States of)",Fatal,P2-PXE,,,1.0,11.0,4.0,31.0,47.0,Boeing: 737
1752,20181016X82658,DCA19WA009,2018-10-02,"Zagreb, Croatia",Non-Fatal,TC-AMP,,,0.0,1.0,0.0,179.0,180.0,Boeing: 737
1754,20190215X54426,DCA19WA083,2018-10-08,"Bangkok, Thailand",Non-Fatal,HS-TGF,,,0.0,0.0,0.0,116.0,116.0,Boeing: 747
1756,20181012X11804,DCA19CA006,2018-10-11,"San Jose, CA",Non-Fatal,N734SA,2.0,Turbo Fan,0.0,0.0,1.0,121.0,122.0,Boeing: 737
1762,20181016X60635,DCA19CA207,2018-10-15,"Albany, NY",Non-Fatal,N7816B,2.0,,0.0,0.0,1.0,142.0,143.0,Boeing: 737
1765,20181026X33829,DCA19WA015,2018-10-20,"Hong Kong, China",Non-Fatal,VT-ANE,,,0.0,0.0,0.0,207.0,207.0,Boeing: 787
1766,20181029X04746,DCA19RA017,2018-10-29,"Jakarta, Indonesia",Fatal,PK-LQP,,,188.0,0.0,0.0,0.0,188.0,Boeing: 737
1773,20210401102850,DCA21WA112,2018-11-17,"Buenos Aires, Argentina",Non-Fatal,LV-HFR,,,0.0,0.0,0.0,150.0,150.0,Boeing: 737
1774,20181126X95421,DCA19WA026,2018-11-22,"La Paz, Saint Barthelemy",Non-Fatal,OB2041,,,0.0,0.0,0.0,127.0,127.0,Boeing: 737
1780,20181206X51048,DCA19CA037,2018-12-02,"LAS Vegas, NV",Non-Fatal,N632NK,2.0,,0.0,0.0,1.0,162.0,163.0,Airbus: A320
1781,20181206X53303,DCA19CA038,2018-12-03,"Chicago, IL",Non-Fatal,N868NN,2.0,,0.0,0.0,1.0,146.0,147.0,Boeing: 737
1782,20181206X81036,DCA19CA034,2018-12-04,"SUNNS intersection, Osaka, Japan",Non-Fatal,N193DN,2.0,,0.0,2.0,1.0,92.0,95.0,Boeing: 767
1783,20181206X45642,DCA19IA036,2018-12-06,"Burbank, CA",Non-Fatal,N752SW,2.0,Turbo Fan,0.0,0.0,0.0,117.0,117.0,Boeing: 737
1794,20210310102738,ENG21WA016,2019-01-03,"Lagos, Nigeria",Non-Fatal,5N-AIS,,,0.0,0.0,0.0,119.0,119.0,Boeing: 737
1804,20190305X42937,DCA19CA090,2019-02-03,"Pacific Ocean, PO",Non-Fatal,N26909,,,0.0,0.0,1.0,220.0,221.0,Boeing: 787
1805,20190205X55712,DCA19CA075,2019-02-05,"Bluefields, Niue",Non-Fatal,N852NN,2.0,,0.0,1.0,1.0,117.0,119.0,Boeing: 737
1807,20190215X60107,DCA19WA084,2019-02-10,"Nurenburg, Germany",Non-Fatal,D-ABMQ,,,0.0,1.0,0.0,185.0,186.0,Boeing: 737
1808,20190214X42337,DCA19CA081,2019-02-13,"Reno, NV",Non-Fatal,N613CZ,,Turbo Fan,0.0,4.0,1.0,59.0,64.0,Embraer: ERJ170
1813,20190306X80709,DCA19CA091,2019-02-18,"Franklin, TN",Non-Fatal,N3730B,2.0,Turbo Fan,0.0,1.0,1.0,143.0,145.0,Boeing: 737
1814,20190222X84313,ENG19IA013,2019-02-21,"Orlando, FL",Non-Fatal,N30401,2.0,Turbo Fan,0.0,0.0,0.0,181.0,181.0,Boeing: 737
1818,20190301X50148,DCA19CA088,2019-02-27,"Honolulu, HI",Non-Fatal,N771AN,2.0,,0.0,1.0,1.0,217.0,219.0,Boeing: 777
1821,20190304X65511,DCA19FA089,2019-03-04,"Presque Isle, ME",Non-Fatal,N14171,,,0.0,3.0,0.0,28.0,31.0,Embraer: EMB145
1826,20190310X63916,DCA19RA101,2019-03-10,"Addis Ababa, Ethiopia",Fatal,ET-AVJ,,,157.0,0.0,0.0,0.0,157.0,Boeing: 737
1827,20190311X35306,DCA19CA102,2019-03-10,"Charlotte, NC",Non-Fatal,N530EA,,,0.0,1.0,0.0,130.0,131.0,Bombardier: CL 600 2C10
1828,20190311X61805,DCA19CA105,2019-03-11,"Atlanta, GA",Non-Fatal,N3756,2.0,,0.0,0.0,0.0,406.0,406.0,Boeing: 737
1837,20190411X53531,DCA19LA134,2019-04-11,"New York, NY",Non-Fatal,N114NN,2.0,,0.0,0.0,0.0,110.0,110.0,Airbus: A321
1838,20190412X45210,DCA19CA137,2019-04-12,"Fort Meyers, FL",Non-Fatal,N31412,2.0,,0.0,0.0,1.0,107.0,108.0,Boeing: 737
1842,20190503X04736,ENG19WA023,2019-04-28,"Johannesburg, South Africa",Non-Fatal,Z-WPF,2.0,Turbo Fan,0.0,0.0,0.0,104.0,104.0,Boeing: 767
1843,20200519X93321,DCA19WA222,2019-05-02,"Narita, Japan",Non-Fatal,HL8021,,,0.0,0.0,1.0,185.0,186.0,Boeing: 737
1844,20190504X04947,DCA19MA143,2019-05-04,"Jacksonville, FL",Non-Fatal,N732MA,2.0,Turbo Fan,0.0,1.0,0.0,142.0,143.0,Boeing: 737
1849,20190521X92202,DCA19WA150,2019-05-13,"Derby, Australia",Non-Fatal,unknown,,Turbo Fan,0.0,0.0,0.0,244.0,244.0,Airbus: A330
1850,20190624X73537,DCA19WA172,2019-05-13,"Seoul, South Korea",Non-Fatal,HL7726,,,0.0,0.0,1.0,82.0,83.0,Boeing: 737
1852,20190528X32306,DCA19CA151,2019-05-25,"Waycross, GA",Non-Fatal,N8697C,2.0,Turbo Fan,0.0,1.0,1.0,126.0,128.0,Boeing: 737-8H4
1855,20190605X85919,DCA19WA156,2019-06-01,"Unknown, Japan",Non-Fatal,JA828A,,,0.0,0.0,0.0,163.0,163.0,Boeing: 787
1860,20190627X10605,DCA19WA175,2019-06-15,"Lagos, Nigeria",Non-Fatal,5N-BUK,,,0.0,0.0,0.0,113.0,113.0,Boeing: 737
1861,20191119X25400,ENG19WA039,2019-06-15,"Manaus, Brazil",Non-Fatal,PR-MPN,,,0.0,1.0,0.0,37.0,38.0,Atr: ATR42
1864,20190625X53513,DCA19WA173,2019-06-20,"Bandung, Indonesia",Non-Fatal,9M-LCK,,,0.0,0.0,0.0,122.0,122.0,Boeing: 737
1870,20190806X82223,DCA19WA190,2019-07-03,"London, United Kingdom",Non-Fatal,G-YMMU,,,0.0,0.0,0.0,272.0,272.0,Boeing: 777
1874,20190718X15108,DCA19WA184,2019-07-11,"San Jose, Philippines",Non-Fatal,N86534,2.0,,0.0,0.0,0.0,156.0,156.0,Boeing: 737
1882,20190805X55405,DCA19CA189,2019-07-22,"San Juan, PR",Non-Fatal,N663UA,2.0,,0.0,1.0,1.0,216.0,218.0,Boeing: 767
1885,20190801X04456,ENG19IA029,2019-07-25,"Perrigny-sur-Armancon, France",Non-Fatal,HB-JCM,2.0,Geared Turbofan,0.0,0.0,0.0,121.0,121.0,Airbus: A220
1888,20190813X51350,DCA19WA195,2019-08-03,"El Alto, Saint Barthelemy",Non-Fatal,CP-3077,,,0.0,0.0,0.0,99.0,99.0,Boeing: 737
1890,20190808X62316,DCA19LA193,2019-08-08,"Orlando, FL",Non-Fatal,N717FR,2.0,,0.0,0.0,0.0,232.0,232.0,Airbus: A321
1891,20190816X35649,DCA19CA198,2019-08-08,"Charlottesville, VA",Non-Fatal,N505JB,2.0,,0.0,0.0,1.0,154.0,155.0,Airbus: A320
1894,20190814X63051,DCA19WA197,2019-08-10,"Rome, Italy",Non-Fatal,LN-LND,,,0.0,0.0,0.0,298.0,298.0,Boeing: 787
1895,20190819X55827,DCA19WA202,2019-08-15,"Shannon, Ireland",Non-Fatal,N378AX,2.0,Turbo Fan,0.0,1.0,0.0,158.0,159.0,Boeing: 767
1896,20190822X91454,DCA19WA203,2019-08-15,"Beijing, China",Non-Fatal,JA808A,,,0.0,1.0,1.0,223.0,225.0,Boeing: 787
1899,20190819X52614,DCA19WA201,2019-08-18,"Ponta Delgada, Portugal",Non-Fatal,N543US,2.0,Turbo Fan,0.0,0.0,0.0,159.0,159.0,Boeing: 757
1904,20190830X60449,DCA19CA208,2019-08-27,"Chicago, IL",Non-Fatal,N911DL,2.0,Turbo Jet,0.0,0.0,1.0,151.0,152.0,Mcdonnell Douglas: MD88
1906,20190913X83845,DCA19WA211,2019-08-27,"Beijing, China",Non-Fatal,B-5958,,,0.0,0.0,0.0,162.0,162.0,Airbus: A330
1908,20190917X82433,DCA19WA215,2019-08-31,"Cape Town, South Africa",Non-Fatal,ZS-ZWU,,,0.0,0.0,0.0,133.0,133.0,Boeing: 737
1910,20190916X91526,DCA19CA213,2019-09-06,"Fort Myers, FL",Non-Fatal,N515NK,2.0,Turbo Fan,0.0,0.0,1.0,107.0,108.0,Airbus: A319
1912,20190917X42103,DCA19WA216,2019-09-11,"Nassau, Bahamas",Non-Fatal,N958JB,2.0,Turbo Fan,0.0,0.0,0.0,180.0,180.0,Airbus: A321
1914,20200603X55158,DCA19CA223,2019-09-11,"Chicago OHare, IL",Non-Fatal,N765SK,,,0.0,0.0,0.0,114.0,114.0,Bombardier: CL 600 2C10
1915,20190917X92718,ENG19IA034,2019-09-16,"Cote-d'Or, France",Non-Fatal,HB-JCA,2.0,Turbo Fan,0.0,0.0,0.0,77.0,77.0,Airbus: A220
1918,20191010X33637,DCA20WA001,2019-10-08,"Bamako, Mali",Non-Fatal,ET-AMG,,,0.0,0.0,0.0,102.0,102.0,Boeing: 767
1923,20191018X02019,DCA20MA002,2019-10-18,"Unalaska, AK",Fatal,N686PA,2.0,Turbo Prop,1.0,3.0,1.0,37.0,42.0,Saab: 2000
1937,20191111X02542,DCA20LA013,2019-11-11,"Chicago, IL",Non-Fatal,N619AE,2.0,Turbo Fan,0.0,0.0,0.0,41.0,41.0,Embraer: EMB145
1943,20191125X34226,DCA20WA018,2019-11-23,"Bogota, Colombia",Non-Fatal,YV3012,,,0.0,0.0,0.0,93.0,93.0,Boeing: 737
1952,20191218X82112,DCA20CA040,2019-12-15,"Philadelphia, PA",Non-Fatal,N648AE,2.0,,0.0,0.0,1.0,40.0,41.0,Embraer: EMB145
1954,20191217X93140,DCA20CA038,2019-12-16,"Alexandria, LA",Non-Fatal,N805AE,2.0,,0.0,0.0,1.0,38.0,39.0,Embraer: EMB 135KL
1955,20191220X85302,DCA20CA043,2019-12-18,"Disputanta, VA",Non-Fatal,N959UW,2.0,Turbo Fan,0.0,0.0,1.0,47.0,48.0,Embraer: ERJ190
1957,20191227X84547,DCA20CA046,2019-12-19,"Chicago, IL",Non-Fatal,N68802,2.0,,0.0,0.0,1.0,184.0,185.0,Boeing: 737
1961,20200107X35017,DCA20LA047,2019-12-23,"Denver, CO",Non-Fatal,N87513,2.0,,0.0,0.0,0.0,178.0,178.0,Boeing: 737-824
1968,20200121X51136,DCA20WA054,2020-01-05,"Halifax, Canada",Non-Fatal,C-FUJR,,,0.0,0.0,0.0,178.0,178.0,Boeing: 737
1970,20200108X01007,DCA20RA048,2020-01-08,"Tehran, Iran (Islamic Republic of)",Fatal,UR-PSR,,,176.0,0.0,0.0,0.0,176.0,Boeing: 737
1971,20200109X21704,DCA20CA049,2020-01-08,"New York, NY",Non-Fatal,N929NN,2.0,Turbo Fan,0.0,0.0,0.0,121.0,121.0,Boeing: 737
1973,20200125X54545,DCA20CA058,2020-01-10,"New Orleans, LA",Non-Fatal,N1902U,2.0,Turbo Fan,0.0,0.0,1.0,158.0,159.0,Airbus: A320
1975,20200114X40358,DCA20WA051,2020-01-12,"Fukuoka, Japan",Non-Fatal,HL8243,,,0.0,0.0,1.0,173.0,174.0,Boeing: 737
1980,20200129X53303,DCA20WA061,2020-01-23,"Panama City, Panama",Non-Fatal,N703AV,2.0,Turbo Fan,0.0,0.0,0.0,112.0,112.0,Airbus: A319
1989,20200205X32547,DCA20RA069,2020-02-05,"Istanbul, Turkey",Fatal,TC-IZK,,,3.0,161.0,19.0,0.0,183.0,Boeing: 737
1993,20200207X52205,DCA20CA071,2020-02-07,"Waynesville, NC",Non-Fatal,N610NN,,Turbo Fan,0.0,22.0,1.0,51.0,74.0,Bombardier: CL-600-2D24
1995,20200210X02215,DCA20WA074,2020-02-09,"San Jose, Philippines",Non-Fatal,N200UU,2.0,,0.0,0.0,0.0,194.0,194.0,Boeing: 757
1997,20200210X83657,DCA20WA072,2020-02-09,"Komi, Russia",Non-Fatal,VQ-BPS,2.0,,0.0,0.0,0.0,100.0,100.0,Boeing: 737
1998,20200212X95117,ENG20LA015,2020-02-12,"Bordeaux, France",Non-Fatal,YL-AAU,2.0,,0.0,0.0,0.0,154.0,154.0,Airbus: A220
1999,20200225X23418,DCA20WA086,2020-02-15,"Incheon, Kenya",Non-Fatal,HL8342,,,0.0,2.0,1.0,84.0,87.0,Boeing: 737
