Event.Id,Accident.Number,Event.Date,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Make:Model,People.Count,City,Region,Latitude,Longitude
20190528X32306,DCA19CA151,5/25/19,Non-Fatal,N8697C,2.0,Turbo Fan,0,1,1,126,Boeing: 737-8H4,128,Waycross,Georgia,31.2108,-82.3579
20190605X85919,DCA19WA156,6/1/19,Non-Fatal,JA828A,,,0,0,0,163,Boeing: 787,163,Unknown,Japan,36.204824,138.252924
20190627X10605,DCA19WA175,6/15/19,Non-Fatal,5N-BUK,,,0,0,0,113,Boeing: 737,113,Lagos,Nigeria,6.524379,3.379206
20190625X53513,DCA19WA173,6/20/19,Non-Fatal,9M-LCK,,,0,0,0,122,Boeing: 737,122,Bandung,Indonesia,-6.917464,107.619123
20190806X82223,DCA19WA190,7/3/19,Non-Fatal,G-YMMU,,,0,0,0,272,Boeing: 777,272,London,United Kingdom,39.8935,-83.4375
20190718X15108,DCA19WA184,7/11/19,Non-Fatal,N86534,2.0,,0,0,0,156,Boeing: 737,156,San Jose,Philippines,37.3012,-121.848
20190805X55405,DCA19CA189,7/22/19,Non-Fatal,N663UA,2.0,,0,1,1,216,Boeing: 767,218,San Juan,Pr,18.3985,-66.061
20190801X04456,ENG19IA029,7/25/19,Non-Fatal,HB-JCM,2.0,Geared Turbofan,0,0,0,121,Airbus: A220,121,Perrigny-sur-armancon,France,47.689972,4.238674
20190813X51350,DCA19WA195,8/3/19,Non-Fatal,CP-3077,,,0,0,0,99,Boeing: 737,99,El Alto,Bolivia,-16.489947,-68.20819
20190808X62316,DCA19LA193,8/8/19,Non-Fatal,N717FR,2.0,,0,0,0,232,Airbus: A321,232,Orlando,Florida,28.4773,-81.337
20190816X35649,DCA19CA198,8/8/19,Non-Fatal,N505JB,2.0,,0,0,1,154,Airbus: A320,155,Charlottesville,Virginia,38.0375,-78.4855
20190814X63051,DCA19WA197,8/10/19,Non-Fatal,LN-LND,,,0,0,0,298,Boeing: 787,298,Rome,Italy,34.2662,-85.1863
20190819X55827,DCA19WA202,8/15/19,Non-Fatal,N378AX,2.0,Turbo Fan,0,1,0,158,Boeing: 767,159,Shannon,Ireland,34.3406,-85.0854
20190822X91454,DCA19WA203,8/15/19,Non-Fatal,JA808A,,,0,1,1,223,Boeing: 787,225,Beijing,China,39.904211,116.407395
20190819X52614,DCA19WA201,8/18/19,Non-Fatal,N543US,2.0,Turbo Fan,0,0,0,159,Boeing: 757,159,Ponta Delgada,Portugal,37.739421,-25.668672
20190830X60449,DCA19CA208,8/27/19,Non-Fatal,N911DL,2.0,Turbo Jet,0,0,1,151,Mcdonnell Douglas: MD88,152,Chicago,Illinois,41.8375,-87.6866
20190913X83845,DCA19WA211,8/27/19,Non-Fatal,B-5958,,,0,0,0,162,Airbus: A330,162,Beijing,China,39.904211,116.407395
20190917X82433,DCA19WA215,8/31/19,Non-Fatal,ZS-ZWU,,,0,0,0,133,Boeing: 737,133,Cape Town,South Africa,-33.924868,18.424055
20190916X91526,DCA19CA213,9/6/19,Non-Fatal,N515NK,2.0,Turbo Fan,0,0,1,107,Airbus: A319,108,Fort Myers,Florida,26.6194,-81.8302
20190917X42103,DCA19WA216,9/11/19,Non-Fatal,N958JB,2.0,Turbo Fan,0,0,0,180,Airbus: A321,180,Nassau,Bahamas,45.0677,-96.4417
20200603X55158,DCA19CA223,9/11/19,Non-Fatal,N765SK,,,0,0,0,114,Bombardier: CL 600 2C10,114,Chicago Ohare,Illinois,41.980241,-87.908985
20190917X92718,ENG19IA034,9/16/19,Non-Fatal,HB-JCA,2.0,Turbo Fan,0,0,0,77,Airbus: A220,77,Cote-d'or,France,47.51268,4.635412
20191010X33637,DCA20WA001,10/8/19,Non-Fatal,ET-AMG,,,0,0,0,102,Boeing: 767,102,Bamako,Mali,12.639232,-8.002889
20191018X02019,DCA20MA002,10/18/19,Fatal,N686PA,2.0,Turbo Prop,1,3,1,37,Saab: 2000,42,Unalaska,Alaska,53.8984,-166.568
20191111X02542,DCA20LA013,11/11/19,Non-Fatal,N619AE,2.0,Turbo Fan,0,0,0,41,Embraer: EMB145,41,Chicago,Illinois,41.8375,-87.6866
20191125X34226,DCA20WA018,11/23/19,Non-Fatal,YV3012,,,0,0,0,93,Boeing: 737,93,Bogota,Colombia,40.8751,-74.0293
20191218X82112,DCA20CA040,12/15/19,Non-Fatal,N648AE,2.0,,0,0,1,40,Embraer: EMB145,41,Philadelphia,Pennsylvania,40.0077,-75.1339
20191220X85302,DCA20CA043,12/18/19,Non-Fatal,N959UW,2.0,Turbo Fan,0,0,1,47,Embraer: ERJ190,48,Disputanta,Virginia,37.1236,-77.2249
20191227X84547,DCA20CA046,12/19/19,Non-Fatal,N68802,2.0,,0,0,1,184,Boeing: 737,185,Chicago,Illinois,41.8375,-87.6866
20200107X35017,DCA20LA047,12/23/19,Non-Fatal,N87513,2.0,,0,0,0,178,Boeing: 737-824,178,Denver,Colorado,39.762,-104.8758
20200121X51136,DCA20WA054,1/5/20,Non-Fatal,C-FUJR,,,0,0,0,178,Boeing: 737,178,Halifax,Canada,36.7612,-78.9279
20200108X01007,DCA20RA048,1/8/20,Fatal,UR-PSR,,,176,0,0,0,Boeing: 737,176,Tehran,Iran,35.721858,51.334695
20200109X21704,DCA20CA049,1/8/20,Non-Fatal,N929NN,2.0,Turbo Fan,0,0,0,121,Boeing: 737,121,New York,New York,40.6943,-73.9249
20200125X54545,DCA20CA058,1/10/20,Non-Fatal,N1902U,2.0,Turbo Fan,0,0,1,158,Airbus: A320,159,New Orleans,Louisiana,30.0687,-89.9288
20200114X40358,DCA20WA051,1/12/20,Non-Fatal,HL8243,,,0,0,1,173,Boeing: 737,174,Fukuoka,Japan,33.590184,130.401689
20200129X53303,DCA20WA061,1/23/20,Non-Fatal,N703AV,2.0,Turbo Fan,0,0,0,112,Airbus: A319,112,Panama City,Panama,30.1995,-85.6003
20200205X32547,DCA20RA069,2/5/20,Fatal,TC-IZK,,,3,161,19,0,Boeing: 737,183,Istanbul,Turkey,41.008238,28.978359
20200207X52205,DCA20CA071,2/7/20,Non-Fatal,N610NN,,Turbo Fan,0,22,1,51,Bombardier: CL-600-2D24,74,Waynesville,North Carolina,35.4854,-82.9996
20200210X02215,DCA20WA074,2/9/20,Non-Fatal,N200UU,2.0,,0,0,0,194,Boeing: 757,194,San Jose,Philippines,37.3012,-121.848
20200210X83657,DCA20WA072,2/9/20,Non-Fatal,VQ-BPS,2.0,,0,0,0,100,Boeing: 737,100,Komi,Russia,63.863054,54.831269
20200212X95117,ENG20LA015,2/12/20,Non-Fatal,YL-AAU,2.0,,0,0,0,154,Airbus: A220,154,Bordeaux,France,44.837789,-0.57918
20200225X23418,DCA20WA086,2/15/20,Non-Fatal,HL8342,,,0,2,1,84,Boeing: 737,87,Incheon,Kenya,37.456256,126.705206
20200519X44148,DCA20WA106,2/17/20,Non-Fatal,LV-CHQ,,,0,0,0,102,Embraer: ERJ190,102,Rosario,Argentina,-32.958702,-60.693042
20200324X75727,DCA20WA096,3/5/20,Non-Fatal,N250NN,,,0,0,0,52,Embraer: ERJ170-200LR,52,Apodaca,Mexico,25.776468,-100.185874
20200312X91006,DCA20WA093,3/8/20,Non-Fatal,N477AX,2.0,Turbo Fan,0,0,0,181,Boeing: 767,181,Shannon,Ireland,34.3406,-85.0854
20200321X14202,DCA20CA095,3/21/20,Non-Fatal,N193AN,2.0,,0,0,0,127,Boeing: 757,127,Las Vegas,Nevada,36.2333,-115.2654
20200521X63755,DCA20LA107,5/19/20,Non-Fatal,N820TJ,,,0,0,0,95,Boeing: 737,95,Victorville,California,34.5277,-117.3536
20200522X82856,DCA20WA108,5/22/20,Fatal,AP-BLD,,,97,0,2,0,Airbus: A320,99,Karachi,Pakistan,24.860734,67.001136
20200911X91036,ENG20WA042,7/3/20,Non-Fatal,PK-WHY,,,0,0,0,49,Atr: ATR72,49,Ambon,Indonesia,-3.638666,128.168856
20200728X34409,DCA20WA131,7/14/20,Non-Fatal,ZS-SJB,,,0,0,1,116,Boeing: 737,117,Durban,South Africa,-29.85868,31.02184
20200828X12131,DCA20WA140,8/28/20,Non-Fatal,N423AX,2.0,Turbo Fan,0,0,0,66,Boeing: 767,66,Bucharest,Romania,44.426767,26.102538
20200831X31013,DCA20WA142,8/29/20,Non-Fatal,JA73NM,,,0,0,0,76,Boeing: 737,76,Tokyo,Japan,35.676423,139.650027
2.02011E+13,DCA21LA018,9/30/20,Non-Fatal,N860DA,,,0,0,1,251,Boeing: 777,252,Anchorage,Alaska,61.1508,-149.1091
2.02011E+13,DCA21LA024,11/14/20,Non-Fatal,N778SK,2.0,,0,0,1,60,Bombardier: CL600 2C10,61,Phoenix,Arizona,33.5722,-112.0892
2.02012E+13,DCA21LA058,12/23/20,Non-Fatal,N463UA,2.0,,0,0,1,139,Airbus: A320-232,140,Houston,Texas,29.786,-95.3885
2.02012E+13,DCA21WA061,12/30/20,Non-Fatal,N73275,2.0,Turbo Fan,0,0,0,129,Boeing: 737-824,129,San Jose,Of,37.3012,-121.848
2.02102E+13,DCA21WA081,1/6/21,Non-Fatal,HP-1526CMP,,,0,0,0,160,Boeing: 737,160,Mexico City,Mexico,19.24647,-99.10135
2.02101E+13,DCA21WA066,1/9/21,Fatal,PK-CLC,,,62,0,0,0,Boeing: 737,62,Jakarta,Indonesia,-6.194449,106.82292
2.02101E+13,DCA21WA070,1/17/21,Non-Fatal,A6-HER,,,0,0,1,63,Boeing: 777,64,Dubai,United Arab Emirates,25.204849,55.270783
2.02102E+13,DCA21LA082,2/8/21,Non-Fatal,N918NK,,,0,0,1,95,Airbus: A320,96,Fort Lauderdale,Florida,26.1412,-80.1464
2.02102E+13,DCA21FA085,2/20/21,Non-Fatal,N772UA,2.0,,0,0,0,239,Boeing: 777-222,239,Broomfield,Colorado,39.9542,-105.0526
2.02102E+13,DCA21WA086,2/20/21,Non-Fatal,VT-GHE,,,0,0,0,137,Boeing: 737,137,Vijayawada,India,16.506174,80.648015
2.02103E+13,DCA21LA095,3/15/21,Non-Fatal,N789AN,2.0,,0,0,1,261,Boeing: 777-223,262,Dallas,Texas,32.7935,-96.7667
2.02103E+13,DCA21LA096,3/16/21,Non-Fatal,N706SK,2.0,,0,0,1,65,Bombardier: CL-600-2C10,66,Los Angeles,California,34.1141,-118.4068
2.02103E+13,DCA21WA111,3/27/21,Non-Fatal,CC-AZE,,,0,0,0,116,Airbus: A320,116,Lima,Peru,40.741,-84.112
2.02106E+13,DCA21WA139,4/24/21,Non-Fatal,PH-XRX,,,0,0,0,65,Boeing: 737,65,Rotterdam,Netherlands,51.92442,4.477733
2.02105E+13,OPS21LA002,4/29/21,Non-Fatal,N306NV,2.0,,0,0,0,130,Airbus: A319-112,130,Clearwater,Florida,27.906534,-82.690685
2.02105E+13,DCA21WA136,5/11/21,Non-Fatal,VQ-BJA,,,0,0,0,455,Boeing: 777,455,Cayo Coco,Cuba,22.509013,-78.406973
2.02105E+13,DCA21LA133,5/21/21,Non-Fatal,N289CT,2.0,,0,0,0,214,Boeing: 737,214,Chicago,Illinois,41.8375,-87.6866
2.02105E+13,DCA21LA137,5/28/21,Non-Fatal,N834NN,2.0,,0,0,0,166,Boeing: 737-823,166,Dallas,Texas,32.7935,-96.7667
2.02106E+13,DCA21WA143,5/28/21,Non-Fatal,HL7528,,,0,0,1,237,Boeing: 767,238,Yesan,South Korea,36.670637,126.784318
2.02106E+13,DCA21WA152,6/7/21,Non-Fatal,VT-TGE,,,0,1,2,111,Boeing: 737,114,Kolkata,India,22.572646,88.363895
2.02106E+13,OPS21LA003,6/11/21,Non-Fatal,N8674B,2.0,,0,0,0,77,Boeing: 737-8H4,77,San Diego,California,32.8313,-117.1222
2.02106E+13,DCA21LA164,6/25/21,Non-Fatal,N926UW,2.0,,0,8,1,185,Airbus: A321-231,194,New Orleans,Louisiana,30.0687,-89.9288
2.02107E+13,DCA21LA176,7/4/21,Non-Fatal,N156AN,2.0,,0,0,1,180,Airbus: A321-231,181,Miami,Florida,25.784,-80.2101
2.02107E+13,DCA21LA184,7/22/21,Non-Fatal,N376DN,2.0,,0,0,1,193,Airbus: A321-211,194,Detroit,Michigan,42.3834,-83.1024
2.02107E+13,DCA21WA187,7/25/21,Non-Fatal,SE-RPE,,,0,1,1,184,Boeing: 737,186,Nice,France,43.710173,7.261953
2.02108E+13,DCA21WA191,7/30/21,Non-Fatal,CP-2889,4.0,,0,0,0,97,Bae: RJ85,97,Santa Cruz De La Sierra,Bolivia,-17.814582,-63.156085
2.02108E+13,DCA21LA209,8/21/21,Non-Fatal,N806AW,,,0,0,1,119,Airbus: 319-132,120,Chicago,Illinois,41.8375,-87.6866
2.02108E+13,DCA21LA208,8/24/21,Non-Fatal,N479AS,2.0,,0,3,1,130,Boeing: 737-990ER,134,Seatac,Washington,47.4444,-122.2986
2.02109E+13,DCA21LA226,9/17/21,Non-Fatal,N444ZW,2.0,,0,0,0,51,Bombardier: CL-600-2B19,51,Asheville,North Carolina,35.5707,-82.5537
2.0211E+13,DCA22LA004,9/23/21,Non-Fatal,N208HA,2.0,,0,0,0,134,Airbus: A321-271N,134,Honolulu,Hawaii,21.3294,-157.846
2.0211E+13,DCA22LA002,9/27/21,Non-Fatal,N12125,2.0,,0,0,0,172,Boeing: 757-224,172,Newark,New Jersey,40.7245,-74.1725
2.0211E+13,ENG22LA002,10/2/21,Non-Fatal,N922NK,2.0,,0,4,0,108,Airbus: A320-271N,112,Atlantic City,New Jersey,39.3797,-74.4527
