Event.Id,Accident.Number,Event.Date,Location,Injury.Severity,Registration.Number,Number.of.Engines,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,People.Count,Make:Model,City,Region
20110222X15822,DCA11WA029,2011-02-15,"Pekanbaru, Indonesia",Non-Fatal,PK-LHH,2.0,,0.0,0.0,0.0,226.0,226.0,Boeing: 737,Pekanbaru,Indonesia
20110317X95254,DCA11WA033,2011-02-16,"Madinah, Saudi Arabia",Non-Fatal,HZ-AIS,,,0.0,0.0,0.0,278.0,278.0,Boeing: 747,Madinah,Saudi Arabia
20110219X32035,ERA11CA152,2011-02-19,"North Fayston, VT",Non-Fatal,N706JB,2.0,Turbo Fan,0.0,1.0,1.0,117.0,119.0,Airbus: A320-232,North Fayston,Vermont
20110222X20316,CEN11IA198,2011-02-21,"Southlake, TX",Non-Fatal,N945AN,2.0,Turbo Fan,0.0,0.0,0.0,145.0,145.0,Boeing: 737-823,Southlake,Texas
20110919X53553,ENG11WA049,2011-02-21,"Casablanca, Morocco, Macao",Non-Fatal,CN-ROR,2.0,,0.0,0.0,0.0,110.0,110.0,Boeing: 737,Casablanca,"Morocco, Macao"
20110329X33129,DCA11CA036,2011-02-25,"New York, NY",Non-Fatal,N957UW,2.0,Turbo Fan,0.0,0.0,1.0,92.0,93.0,Embraer: ERJ 190-100 IGW,New York,New York
20110228X54428,WPR11LA149,2011-02-28,"Naches, WA",Non-Fatal,N684DA,2.0,Turbo Fan,0.0,1.0,1.0,188.0,190.0,Boeing: 757-232,Naches,Washington
20110324X53002,OPS11IA410,2011-03-11,"ATLANTA, GA",Non-Fatal,N693DL,2.0,Turbo Fan,0.0,0.0,0.0,130.0,130.0,Boeing: 757-232,Atlanta,Georgia
20110317X14552,ENG11IA021,2011-03-17,"Pittsburgh, PA",Non-Fatal,N339NG,2.0,Turbo Prop,0.0,0.0,0.0,40.0,40.0,Bombardier: DHC 8 402,Pittsburgh,Pennsylvania
20110318X05118,CEN11IA234,2011-03-18,"Akron, OH",Non-Fatal,N11187,2.0,Turbo Fan,0.0,0.0,0.0,46.0,46.0,Embraer: EMB-145XR,Akron,Ohio
20110328X80923,CEN11LA250,2011-03-26,"Kansas City, MO",Non-Fatal,N931AE,2.0,Turbo Fan,0.0,0.0,1.0,51.0,52.0,Embraer: EMB-145LR,Kansas City,Missouri
20110330X05145,OPS11IA428,2011-03-27,"Orlando, FL",Non-Fatal,N293WN,2.0,Turbo Fan,0.0,0.0,0.0,145.0,145.0,Boeing: 737-7H4,Orlando,Florida
20110401X24330,DCA11MA039,2011-04-01,"Yuma, AZ",Non-Fatal,N632SW,2.0,Turbo Fan,0.0,2.0,0.0,120.0,122.0,Boeing: 737,Yuma,Arizona
20110407X95823,DCA11FA072,2011-04-02,"Phoenix, AZ",Non-Fatal,N7264V,2.0,Turbo Fan,0.0,0.0,0.0,49.0,49.0,Bombardier: CL600 2B19,Phoenix,Arizona
20110406X54825,CEN11IA270,2011-04-03,"Dubuque, IA",Non-Fatal,N377SK,2.0,Turbo Jet,0.0,0.0,0.0,47.0,47.0,Embraer: EMB-135KL,Dubuque,Iowa
20110404X21934,DCA11IA040,2011-04-04,"New Orleans, LA",Non-Fatal,N409UA,2.0,Turbo Fan,0.0,0.0,0.0,109.0,109.0,Airbus: A320,New Orleans,Louisiana
20110407X41107,DCA11WA041,2011-04-04,"Bucharest, Romania",Non-Fatal,YR-BGD,2.0,,0.0,0.0,0.0,83.0,83.0,Boeing: B737,Bucharest,Romania
20110408X50236,DCA11WA042,2011-04-07,"Hamburg, Germany",Non-Fatal,D-ABEH,2.0,,0.0,0.0,0.0,86.0,86.0,Boeing: B737,Hamburg,Germany
20110411X70103,DCA11WA043,2011-04-10,"Paris, France",Non-Fatal,C-FIVM,,,0.0,0.0,0.0,361.0,361.0,Boeing: B777,Paris,France
20110418X12310,WPR11LA203,2011-04-11,"Pacific Ocean,",Non-Fatal,N766AN,2.0,Turbo Fan,0.0,2.0,2.0,227.0,231.0,Boeing: 777-223,Pacific Ocean,
20110412X23201,DCA11LA045,2011-04-12,"Jamaica, NY",Non-Fatal,F-HPJD,4.0,Turbo Fan,0.0,0.0,0.0,576.0,576.0,Airbus: A380,Jamaica,New York
20110417X11718,ERA11CA247,2011-04-17,"Cheltenham, MD",Non-Fatal,N200UU,2.0,Turbo Fan,0.0,0.0,1.0,185.0,186.0,Boeing: 757-2B7,Cheltenham,Maryland
